headline,date,description
McDonald's reopens at Malta International Airport following a complete makeover,"Monday, 24 February 2025, 09:54","The McDonald's team is ready to welcome guests at its Malta International Airport restaurant once again, following a complete makeover. The newly renovated restaurant is designed to accommodate more..."
Customised loans from BOV for medical and cosmetic procedures,"Monday, 24 February 2025, 09:53","Local and international trends show an ever-growing demand for medical and cosmetic procedures. People of all ages are taking up such procedures, from younger individuals looking for preventative,..."
BOV at the forefront of digital transformation and innovation with Microsoft,"Monday, 24 February 2025, 09:51","Bank of Valletta is consolidating its strategic partnership with Microsoft through a series of business activities as part of its digital transformation journey, introducing a new Cloud Centre of..."
"CMBS hosts annual graduation ceremony, celebrating over 260 graduates","Monday, 24 February 2025, 09:51","Central Mediterranean Business School (CMBS) hosted its annual graduation ceremony at the Radisson Golden Sands on Friday, 7th February. With over 260 graduates taking the stage, the event  was..."
Temu partners with MaltaPost to enhance delivery services in Malta,"Monday, 24 February 2025, 09:48","Temu, the global direct-from-factory online marketplace, has announced a strategic partnership with MaltaPost to enhance last mile delivery services in Malta. This collaboration combines Temu's..."
"Malta: Extending our hospitality; if, and when, a Ukrainian peace agreement is reached","Sunday, 23 February 2025, 08:00","Stop and reflect upon the geopolitical landscape between the Ukraine, United States and Russia. This is certainly complex and often tense. It is influenced by various factors including military..."
The Melita Foundation celebrates five years of making a difference,"Friday, 21 February 2025, 11:16","The Melita Foundation at St John's Cathedral. From left: Mireille Muscat, Amanda Holmes, Harald Roesch, CEO of Melita Limited, Charlene Ciantar, Prof. Tanya Sammut-Bonnici, Foundation Chair, Maria..."
APS Bank continues its head office transformation with latest workspace upgrades,"Friday, 21 February 2025, 11:15","APS Bank has recently completed another major refurbishment of an entire floor at its head office in Swatar. The project brings all units within the Risk Department together on one floor, improving..."
AP Valletta appoints new partnership team,"Friday, 21 February 2025, 11:12","From left: Rosanne Asciak, Erica Giusta, Konrad Buhagiar, Danica Cachia Mifsud, Charles Sciberras, Simone Vella Lenicker, Jacques Borg Barthet, Chris Mifsud, David Felice, Rory Apap Brown. Photo:..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
BOV retail conference strengthens customer experience,"Thursday, 20 February 2025, 13:12","Bank of Valletta continues to prioritise customer service excellence through its retail network, with Managers and Team Leads across its retail network discussing ongoing improvements in service..."
Eden Leisure Foundation partners with Nature Trust to rehabilitate Wied Ħarq il-Ħammiem,"Wednesday, 19 February 2025, 15:30","The Eden Leisure Foundation (ELF), the philanthropic arm of Eden Leisure Group, is pleased to announce its partnership with Nature Trust FEE Malta aimed at the rehabilitation of Wied Ħarq..."
Bitcoin's Role in Malta's Evolving Digital Economy,"Wednesday, 19 February 2025, 13:35","Malta has positioned itself for a long time at the forefront of the digital economy, specifically in the field of cryptocurrencies and blockchain technology. Dubbed the 'Blockchain Island', Malta was..."
Envision 2050: A renaissance for better living and a sustainable future,"Sunday, 16 February 2025, 08:20","Last year, during a quarterly conference, Tony Zahra, president of MHRA, expressed his anger over the hours-long power cuts that affected Malta and Gozo during the summer months. ""We cannot go on..."
BOV commemorates International Day of Women and Girls in Science,"Thursday, 13 February 2025, 09:29","Bank of Valletta proudly commemorated the International Day of Women and Girls in Science, reaffirming its commitment to fostering a diverse and inclusive workplace where professional women with..."
MFSA commends insurance market for the effective implementation of new financial reporting standard,"Wednesday, 12 February 2025, 13:47",The Malta Financial Services Authority (MFSA) has identified several best practices while carrying out a thematic review among (Re)Insurers on the implementation of the new financial reporting...
Robotaxi: One of many solutions for congested roads,"Sunday, 9 February 2025, 08:00","The daily struggle for drivers to find parking is becoming unbearable due to the lack of serious planning for village parking facilities, partly driven by the expectation of free spaces. No serious..."
A rapidly growing fund with a game-changing opportunity for investors,"Wednesday, 5 February 2025, 20:44","The CC Global Balanced Income Fund, a top-performing fund managed by Calamatta Cuschieri Investment Management has delivered a robust total return of 9.34% over one year, net of all..."
Game Lounge ups the game with Betlookr,"Tuesday, 4 February 2025, 15:18","Betlookr, Game Lounge's upgraded and rebranded AI-powered sports prediction tool, has been changing the game for sports bettors worldwide since its launch. Building on the success of its popular..."
Malta’s entrepreneurs connect in an evening of insights and networking,"Tuesday, 4 February 2025, 15:17",Malta's entrepreneurial spirit recently took centre stage at a dynamic event to discuss the challenges and opportunities defining the local business landscape. Hosted by the Foundation for the...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
HSBC Malta extends partnership with Malta Development Bank to support SMEs with enhanced financing o,"Tuesday, 4 February 2025, 15:02",HSBC Malta announced the extension of its agreement with the Malta Development Bank (MDB) to continue offering loans to small and medium-sized enterprises (SMEs) under the SME Guarantee Scheme (SGS)...
New offices for Luxfair Group,"Tuesday, 4 February 2025, 12:42","Luxfair Group, a leader in construction and project development, launched its new offices, marking a new era of innovation and excellence in property development while expanding into new sectors. The..."
Trump’s country shopping spree,"Sunday, 2 February 2025, 08:30","If the US were to buy Greenland, how would one set the price? For companies and other assets, there are valuation methods. But for an entire economy, it would be more complicated, and not just for..."
Leadership change at MeDirect Group,"Friday, 31 January 2025, 09:55","After having led the MeDirect Group for more than five years, Arnaud Denis, the Group's Chief Executive Officer, decided to leave MeDirect effective 31 January 2025.  During his time as CEO,..."
Vivian appoints Steven Ellul as Head of Sales & Business Development,"Wednesday, 29 January 2025, 15:53","Vivian, one of Malta's leading players in the pharmaceutical industry, has announced the appointment of Steven Ellul as its new Head of Sales and Business Development, a strategic appointment that..."
"MBB welcomes the European Commission’s Competitiveness Compass, urges swift delivery on promises","Wednesday, 29 January 2025, 15:41",The Malta Business Bureau welcomes the European Commission's Competitiveness Compass as a crucial initiative to tackle the EU's long-term economic challenges. MBB CEO Mario Xuereb emphasised that...
"MDB extends flagship SME support schemes in partnership with APS, BOV and HSBC","Wednesday, 29 January 2025, 15:02","The Malta Development Bank (MDB) is pleased to announce the extension of its two flagship schemes, the SME Guarantee Scheme (SGS) and the Guaranteed Co-Lending Scheme (GCLS), in collaboration with its..."
European Institute of Innovation and Technology supports Malta manufacturing start-up,"Tuesday, 28 January 2025, 09:53","ELM Fabrication Limited, a Maltese start-up specialising in large-format 3D printing technology, has launched a project to develop the most accessible large-format 3D printing technology to enter the..."
HSBC Malta Volunteer Leave Day sees 421 employees giving back to the community,"Tuesday, 28 January 2025, 09:40","Well over four hundred HSBC Bank Malta employees participated in last year's Volunteer Leave Day initiative, dedicating a day of paid leave to supporting the local community through volunteering at a..."
Opportunities in motion,"Monday, 27 January 2025, 21:35",2024 has been another strong year for risky assets as global equities returned circa 19% driven by US economic exceptionalism which remained largely intact throughout the year as the S&P 500...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
PwC Survey highlights gaps in AI strategy among businesses,"Monday, 27 January 2025, 21:29","PwC Digital has released the findings of its AI Business Survey 2024, shedding light on the current state of AI adoption among businesses in Malta. Conducted by the PwC Digital Services team, the..."
BOV colour my run proceeds donated to Richmond Foundation,"Monday, 27 January 2025, 13:52","Bank of Valletta recently partnered with Colour My Run Malta, sponsoring the annual 5K Fun Run as part of the Bank's well-being challenge promoting physical, mental and financial well-being. This was..."
MTA appoints new director of VisitMalta Incentives & Meetings,"Monday, 27 January 2025, 13:51","The Malta Tourism Authority is pleased to announce the appointment of Alaine Ciantar as the new Director for VisitMalta Incentives & Meetings. In this role, Alaine will be spearheading the MICE..."
A surrealistic dream about a rock in the Med.,"Sunday, 26 January 2025, 08:00","Economists view ""development"" as a positive force, signifying transformative change that fosters growth and progress to improve the quality of life for all citizens. Sustainable development can..."
Emirates resumes flights to Beirut and Baghdad,"Friday, 24 January 2025, 10:47","Emirates will restart services to Beirut, Lebanon from 1 February with a daily flight. The airline will also reinstate daily services to Baghdad in Iraq on the same day. From February, Emirates'..."
Malta businesses resilient amid cost pressures: Optimism for 2024 grows despite mixed sector perform,"Friday, 24 January 2025, 10:45","The latest business dialogue held between the Central Bank of Malta and non-financial corporations shows that in the fourth quarter of 2024,  Looking ahead, companies in Malta were more..."
Bank of Valletta rings the bell at the Malta Stock Exchange,"Thursday, 23 January 2025, 20:30","On 21 January 2025, Bank of Valletta (BOV) marked a significant milestone with the listing of its €100 million 5% Unsecured Subordinated Bonds (2029-2034) on the Official List of the Malta Stock..."
Epic Malta awarded as country’s Fastest and Best Mobile Network by Ookla®,"Thursday, 23 January 2025, 11:18","Epic continues to stand at the top of telecommunications in Malta, with Ookla®, a global leader in connectivity intelligence and network insights, naming Epic the Fastest Mobile Network in Malta..."
APS Bank launches ‘Milestones’ series to celebrate achievements,"Thursday, 23 January 2025, 09:28","APS Bank has recently launched its 'Milestones' series, showcasing the Bank's accomplishments across all its areas of work. This initiative will be an ongoing feature highlighting not just financial..."
Alexandre Dreyfus launches ‘Qamar Ventures’,"Wednesday, 22 January 2025, 10:43","Alexandre Dreyfus, the net entrepreneur behind blockchain and sports pioneers Chiliz and Socios.com, has announced the launch of Qamar Ventures, an ambitious investment venture focused on transforming..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Malta Business Registry hosts interactive istory Day for secondary students,"Wednesday, 22 January 2025, 09:49","The Malta Business Registry (MBR) In collaboration with the History Teachers' Association (HTA), successfully organised a History Day tailored for secondary students. This event, which drew the..."
Mark Zuckerberg and Elon Musk: Shaping the future of global power dynamics,"Sunday, 19 January 2025, 08:30","Recently, two of the most powerful tech moguls, Mark Zuckerberg and Elon Musk, have taken bold, often controversial steps that transcend the realm of business and venture into the complex world of..."
Ganado Advocates announces George Bugeja as new Partner,"Friday, 17 January 2025, 14:32","Ganado Advocates is pleased to announce the promotion of George Bugeja to Partner, effective 1st January 2025. Having been with the firm for several years, George has significantly contributed to the..."
Challenge Group registers first ever Boeing 777-300 Converted Freighter in Europe under 9H AOC,"Friday, 17 January 2025, 14:21",Malta-based Challenge Group on Friday marked a significant milestone in the aviation industry with the registration of the first-ever Boeing 777-300 converted freighter in Europe under the 9H Air...
Sicilia Outlet Village kicks off winter sales and exciting upcoming events for 2025,"Thursday, 16 January 2025, 13:51",Sicilia Outlet Village is starting the 2025 with unbeatable offers and a series of exciting activities to keep visitors entertained and engaged throughout the season. From incredible discounts during...
Is Crypto Betting A Catchy Phrase Or The Evolution Of Gaming With Digital Currencies?,"Tuesday, 14 January 2025, 17:10","Crypto betting, or betting on sports by wagering with cryptocurrencies, is becoming ever more popular. More sportsbooks are accepting crypto, but long-time bettors are skeptical-isn't it all just a..."
The Malta Chamber signs Bronze Collaboration Agreement with M. Demajo Group,"Tuesday, 14 January 2025, 13:34","The Malta Chamber of Commerce, Enterprise and Industry is thrilled to announce the signing of a Bronze Collaboration Agreement with the M. Demajo Group. This partnership represents a shared commitment..."
PwC Malta announces the appointment of three new partners,"Tuesday, 14 January 2025, 11:17","PwC Malta is pleased to announce the appointment of Joanne Saliba, Michael Borg and Eric Mackay as Partners within the Assurance, Tax, and Advisory service lines, respectively. These..."
"Eden Leisure Group and InterContinental Malta Donate €6,000 and Defibrillators to Dar tal-Providenza","Monday, 13 January 2025, 16:04","From left: Victor Formosa (Communications Manager, Dar tal-Providenza), Dollsy Darmanin (HR Manager, ICM), Carina Scerri (Eden Leisure Foundation Secretary & Group HR Manager, Eden Leisure Group),..."
Carlos Moreno: Envisioning a 15-minute city,"Sunday, 12 January 2025, 08:30","The penny suddenly dropped - watch how the government gallantly appointed an ex-BOV financial analyst, Steve Ellul as the latest CEO of state agency - Infrastructure Malta. It pompously announced..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Are monetary policy decisions in line with market expectations?,"Friday, 10 January 2025, 09:55","Chart 3: ECB DFR expectations vs actual monetary policy decisions Source: ECB, ECB Survey of Monetary Analysts Monetary policy expectations play a pivotal role in shaping market..."
Inflation: should bygones be bygones?,"Friday, 10 January 2025, 09:52","In December 2024 the European Commission published its standard Eurobarometer for autumn 2024, with field work conducted during October of that year. There are several interesting findings that emerge..."
Security and the Polish Presidency of the Council of the EU,"Friday, 10 January 2025, 09:34","On 1 January, Poland assumed the presidency of the Council of the EU. What does this concretely mean? It means that the Council formations, from working parties to ministerial councils, will be in..."
Policy-making,"Friday, 10 January 2025, 09:31","Over the Christmas period, I read Daniel Kahneman's ground-breaking book, Thinking, Fast and Slow. This book explores the two systems of thinking that govern human decision-making. System I, fast and..."
Malta: Exciting prospects for 2025,"Friday, 10 January 2025, 09:27","The Central Bank has taken a bullish stance towards Malta's economy, revising its GDP growth forecasts upwards and saying overall risks to economic growth in 2025 are tilted to the upside. It..."
MFSA urges banks to strengthen climate-related and environmental risk management,"Thursday, 9 January 2025, 16:10","The Malta Financial Services Authority (MFSA) has issued a ""Dear CEO Letter"" emphasising the need for enhanced Climate-related and Environmental (C&E) risk management within Less Significant..."
Malta saw largest EU increase of nights booked in accommodation through online platforms in August,"Thursday, 9 January 2025, 15:25","All EU countries saw an increase in the number of nights booked through online platforms in August 2024, the busiest month in tourism in the EU in general, but the largest increase was found in Malta..."
"Labour migration reform shows how government consistently provides solutions, PL says","Thursday, 9 January 2025, 15:24","The Labour Party on Thursday welcomed the recommendations made in the Labour Migration Policy launched yesterday for public consultation, which the party said strikes a clear balance between the..."
Direct flights between Malta and Qatar to restart in July,"Thursday, 9 January 2025, 11:09","Qatar Airways will be operating four weekly flights between Malta and Qatar from July, Deputy Prime Minister and Minister for Foreign Affairs and Tourism Ian Borg announced during a visit to Doha on..."
2024: More than €5 billion worth of property in promises of sale agreements,"Thursday, 9 January 2025, 08:53","2024 was a year that saw an impressive number of records broken across Malta's property sector, the Malta Developers Association said Thursday. As the year closed and all the data was collected,..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Seasonally adjusted monthly unemployment rate for November stood at 3%,"Wednesday, 8 January 2025, 11:50","The seasonally adjusted monthly unemployment rate for November 2024 stood at 3%, at par with the previous month, the National Statistics Office (NSO) has said. It decreased by 0.2 percentage..."
Updated: Government presents labour migration policy to regulate entrance of TCNs in job market,"Wednesday, 8 January 2025, 11:09","The government on Wednesday presented a labour migration policy which, in the words of the Prime Minister, is aimed to regulate how workers from outside the European Union could enter the Maltese..."
APS Bank hosts Executive Breakfast series to bridge knowledge across teams,"Wednesday, 8 January 2025, 11:08",APS Bank has brought to a close another successful year of Executive Breakfasts.  These quarterly events are designed to foster open communication and stronger connections between colleagues and...
APS Bank supports Mumenti’s fundraising effort for Hospice Malta,"Wednesday, 8 January 2025, 11:05","From right: Marcel Cassar, CEO of APS Bank; Jeremy Vassallo, CSR Manager; and Rachael Blackburn, Head of Culture.   APS Bank is proud to have supported Mumenti in raising €15,209,..."
HSBC Malta Foundation spreads Christmas cheer to over 30 NGOs,"Wednesday, 8 January 2025, 11:01","This Christmas, the HSBC Malta Foundation has once again embodied the spirit of giving, delivering essential support and festive joy to some of Malta's most vulnerable communities. Partnering with..."
Standard and Poor’s upgrades Bank of Valletta’s credit ratings,"Tuesday, 7 January 2025, 14:44","In December 2024, S&P Global Ratings raised its long- and short-term issuer credit ratings on Bank of Valletta to BBB/A-2 from BBB-/A-3. S&P Global Ratings also raised the long-term resolution..."
ARMS to give compensation to consumers for 2024 summer power outages,"Monday, 6 January 2025, 15:21","Consumers, residential or not, who suffered a power outage of over 6 consecutive hours during last summer will be given compensation, the company managing water and electricity bills, ARMS, said..."
Insurance Association of Malta calls for introduction of accident investigation agency,"Monday, 6 January 2025, 14:43","The Insurance Association of Malta has called for the implementation of the long-awaited accident investigation agency. In a statement, it said that driving under the influence of alcohol or..."
Bank of Valletta celebrates decades-old tradition with annual event for employees’ children,"Tuesday, 31 December 2024, 12:44","Bank of Valletta continued its cherished festive tradition by hosting the annual Children's event for employees' children on Sunday, 15th December, at the Mediterranean Conference Centre (MCC). This..."
2025: Many are invited but only few see the light,"Sunday, 29 December 2024, 08:00","In a message on the eve of Christmas Day, President Myriam Spiteri Debono stressed the importance of collective responsibility, urging all citizens to recognise their duty to contribute positively to..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
BOV’s donation to L-Istrina highlights 50 years of community support,"Thursday, 26 December 2024, 17:47","Bank of Valletta reaffirmed its commitment to supporting the Malta Community Chest Fund Foundation by presenting a remarkable €310,000 during this year's L-Istrina live broadcast. This..."
New collective agreement signed between FSWS and UHM,"Monday, 23 December 2024, 17:06","A new collective agreement has been signed between the Foundation for Social Welfare Services and UHM Voice of the Workers, the Ministry for Social Policy and Children’s Rights stated on..."
eCabs extends partnership with L-Istrina for nationwide fundraising support,"Monday, 23 December 2024, 15:08","eCabs on Monday announced it has extended its logistical partnership with L-Istrina, the annual 12-hour telethon dedicated to raising essential funds for the Malta Community Chest Fund..."
New collective agreement signed between Manoel Theatre and General Workers’ Union,"Monday, 23 December 2024, 15:06","A new collective agreement has been signed between the workers of the Manoel Theatre and the General Workers’ Union, the Ministry for National Heritage, the Arts, and Local Government said on..."
"Convenience Shop Group donates €12,000 to l-Istrina in support of Malta Community Chest Fund","Monday, 23 December 2024, 10:54","The Convenience Shop Group has presented a donation cheque of €12,000 to l-Istrina, reinforcing its commitment to supporting NGOs throughout the year.  Speaking on behalf of the..."
"Households cut black bag waste by 31.5% in a decade, says WasteServ CEO","Sunday, 22 December 2024, 08:00","Households are increasingly rethinking their waste disposal habits, contributing to a 31.5% decrease in the rate of black bags that ended up in landfills over the past decade, WasteServ CEO Richard..."
TerraForm: Malta secures its first ERC grant to uncover the history of terraced landscapes,"Thursday, 19 December 2024, 15:43","Malta has secured its first-ever Horizon Europe European Research Council (ERC) Grant, awarded to , a lecturer in Mediterranean prehistory at the Department of Classics and Archaeology within the..."
Nestlé Malta’s Clothes Drive delivers hundreds of men’s clothing items collected for charity,"Thursday, 19 December 2024, 13:14","Nestlé Malta has successfully concluded its 5th Annual Clothes Collection Drive, with this year's edition focusing on men's clothing. Over the course of November, the company, alongside members..."
Travel with Tallinja on 21st December to support L-Istrina,"Thursday, 19 December 2024, 11:45","Malta Public Transport is launching its eighth edition of Tallinja għal L-Istrina on Saturday, 21st December 2024, in collaboration with the Office of the President. This annual initiative raises..."
A top Russian general is killed in a Moscow bombing claimed by Ukraine,"Tuesday, 17 December 2024, 16:24","A senior Russian general was killed Tuesday by a bomb hidden in a scooter outside his apartment building in Moscow, a day after Ukraine’s security service levelled criminal charges against him...."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Excellence unleashed at BOV with 120 plus employees graduating,"Monday, 16 December 2024, 15:39","Bank of Valletta celebrated the achievements of over 120 employees at the 2024 Graduation Ceremony held on Friday, 22nd November at the Phoenicia Hotel. The event highlighted the Bank's commitment to..."
Economics of Christmas: A season of cheer or inefficiency?,"Sunday, 15 December 2024, 10:05","Christmas, tis the season to be jolly, sing carols, eat too much and... spend a lot.  Behind the festive cheer lies a less joyous truth about the economic inefficiencies of this beloved..."
Economic Sector Growth: Powers of Percent Increase Analysis,"Thursday, 12 December 2024, 14:51",Understanding the dynamics of economic sector growth is integral to making sound financial decisions. Being able to accurately discern patterns of growth within sectors can greatly assist in your...
HSBC Malta Foundation hosts ceremony to honour winners of Maltese honeybee awareness competition,"Thursday, 12 December 2024, 09:10","The HSBC Malta Foundation, in collaboration with the Foundation for the Conservation of the Maltese Honeybee (KNM), celebrated the winners of the National Insect €2 Commemorative Coin Competition..."
GBS Malta unveils state-of-the-art campus in St Julian’s,"Wednesday, 11 December 2024, 12:14","GBS Malta, a member of the Global Education (GEDU) network, has inaugurated a cutting-edge campus in the bustling heart of St Julian's. This development sets a new benchmark for student learning and..."
Belair Property champions excellence in architecture at Din l-Art Ħelwa Awards,"Wednesday, 11 December 2024, 12:01","Belair Property proudly sponsored the XVIII edition of Din l-Art Ħelwa's architectural awards, held in November. The decision to support this prestigious event reflects Belair's commitment to the..."
Atlas Insurance launches special edition 2025 Calendar,"Wednesday, 11 December 2024, 10:17","Atlas Insurance has unveiled its 2025 annual calendar, a distinctive edition commemorating the company's centennial and the exhibition held during 2024 ""Centennial Chronicles - Celebrating Malta's..."
Debono Group launches employee dream sponsorship scheme for 2025,"Wednesday, 11 December 2024, 09:43","Debono Group has officially launched a sponsorship scheme aimed at empowering its employees to explore and excel in their passions, from motorsports to athletics and beyond. The programme was kicked..."
BOV sets new standard with SEPA instant payments launch,"Tuesday, 10 December 2024, 21:22","Bank of Valletta has successfully launched its SEPA service, offering customers a faster, more efficient way to receive funds from anywhere in Europe. This milestone underscores the Bank's commitment..."
