headline,date,time,description
Draghi to present EU competitiveness report to senior lawmakers next week,"August 30, 2024",1:08 pm CET,Ex-ECB chief will brief political groups of European Parliament before official launch in coming weeks.
EU countries approve first €4.2B payment to Ukraine,"August 6, 2024",2:35 pm CET,"The money, part of a €50 billion bundle of grants and loans, will help Ukraine rebuild."
Report: Trump wouldn’t fire Fed’s Powell if reelected,"July 17, 2024",9:22 am CET,The presumptive GOP nominee’s remarks suggest that he may not go further than he did in his first term.
European banks to provide over €600M in recovery funds for Ukraine,"June 11, 2024",9:05 pm CET,The deals were signed at this week’s Ukraine Recovery Conference in Berlin.
Dombrovskis nominated by Latvian government for third Commission term,"June 11, 2024",4:03 pm CET,Valdis Dombrovskis is rumored to have his sights on a role related to rebuilding Ukraine.
‘It feels like there’s no future’: Georgia’s clash with West leaves ordinary people on brink,"June 1, 2024",5:42 am CET,The government’s crusade against European and American influence comes at the cost of one of the country’s only economic lifelines.
Britain’s fast-improving economy won’t save the Tories,"May 21, 2024",9:54 pm CET,"Inflation’s slowing, growth’s returning — but it’s not the economy any more, stupid, for struggling UK Conservatives."
Is the Bank of England really a secret political player?,"May 17, 2024",4:30 am CET,
Brussels buzzwords of the week: Competitiveness and Bolshewokism,"April 19, 2024",4:10 am CET,
"Make the single market ‘sexy,’ Italy’s ex-PM urges EU leaders","April 19, 2024",4:00 am CET,
Tories pray for a miracle after a lackluster budget,"March 7, 2024",4:00 am CET,
Davos 2024: Trump’s Iowa win and the future of AI,"January 17, 2024",6:31 am CET,
EU takes first step to raise money for Ukraine from Russian frozen assets,"December 12, 2023",5:58 pm CET,
Berlin used to be able to lay down the law on EU spending rules. Those days are gone.,"December 6, 2023",10:55 pm CET,Finance ministers hope to strike a deal on overhaul of national debt and deficit limits over dinner on Thursday night.
Calviño’s EIB ‘coronation’ triggers claims of bad practice,"December 1, 2023",5:45 pm CET,The Spaniard’s rivals refuse to throw in the towel despite organizer of the process endorsing her.
Polish opposition threatens to go after central bank chief over inflation,"September 10, 2023",4:17 pm CET,"Civic Platform vows to hold Adam Glapiński accountable for ‘destroying the independence’ of the central bank, if it wins October’s election."
Boosting SME digital skills is key for UK economic growth,"July 3, 2023",5:00 am CET,"Small businesses lag behind big firms on basic digital skills, and minority- and female-owned businesses face even bigger challenges. Programs such as Mastercard’s Strive UK aim to change this."
The end of Erdoğanomics? Turkey almost doubles interest rates to fight inflation,"June 22, 2023",1:25 pm CET,"The apparent U-turn is being entrusted to mainstream financial experts, while Erdoğan himself still insists interest rates should remain low."
Far-right surge triggers alarm in Germany,"June 7, 2023",7:12 pm CET,Germany’s right-populist AfD party has shot up 4 percentage points in the last 3 months alone.
Le Maire hails ‘positive signal’ after S&P preserves France’s credit rating,"June 3, 2023",11:30 am CET,"The French government’s public debt strategy is ‘credible,’ economy minister says."
Director Oliver Stone talks nuclear power — EU economy chief Paolo Gentiloni,"January 19, 2023",5:04 am CET,Presented by Hedera.
Davos struggles to get used to a world without Russia,"January 18, 2023",11:33 am CET,"Behind the scenes, global CEOs and leaders question how long the West can ignore Moscow and still find new markets for energy, metals and food."
Is this the end of Made in Europe?,"January 15, 2023",7:27 pm CET,"From glass-makers to paper producers, European industries face a struggle to survive. What if they don’t make it?"
"Argentina, caught in economic depression, gets something to cheer in World Cup win","December 18, 2022",11:42 pm CET,Triumph in epic final match of tournament gives crisis-torn South American country a feeling of new hope.
Macron strong-arms French parliament into adopting budget,"October 19, 2022",8:36 pm CET,The president’s pledge to build bridges with opposition parties after his parliamentary election setback fell flat.
It’s time to talk about towns — an untapped opportunity to drive growth across the UK,"October 5, 2022",5:00 am CET,First-of-its-kind report reveals insight into the economic vitality and strengths of UK’s towns — and how they can be bolstered so no one is left behind.
Defiant Liz Truss defends budget amid UK market turmoil,"September 29, 2022",12:28 pm CET,British prime minister insists interest rates and difficult market conditions were a global problem..
Bundesbank chief: Further rate hikes needed to curb inflation,"August 20, 2022",6:30 pm CET,Nagel also acknowledges that recession seems likely in the fall amid the energy crisis.
Businesses in Belgium now have to accept electronic payments,"July 1, 2022",4:50 pm CET,Cash payments will still be accepted.
The invisible backbone of Europe’s e-commerce,"June 29, 2022",5:00 am CET,Logistics and e-commerce are building a better tomorrow. What role will they play in Europe’s future?
"Going digital, going green: tourism’s twin transition","June 23, 2022",5:00 am CET,How Europe can remain the number one tourist destination in the world
Airbnb hosts in Europe create the future of tourism,"June 16, 2022",5:00 am CET,"“By becoming an Airbnb host, I was able to appreciate a new vision of accommodation where special attention is the essence of a unique experience,” said Jean-Paul Helissey, former Olympian."
Scholz on Ukraine — COVID update — Food waste solution,"May 26, 2022",5:42 pm CET,Presented by Cisco.
Death of globalization? — EU expansion — Women in Davos,"May 25, 2022",11:32 pm CET,Presented by Cisco.
Russian oil sanctions — Stagflation fears — Crypto not dead,"May 24, 2022",11:08 pm CET,Presented by Cisco.
Zelenskyy chides global elite — Trust troubles — Billionaire bonanza,"May 24, 2022",4:50 am CET,Presented by Cisco.
The waiting game: When will the EU agree to sanctions on Russian oil?,"April 26, 2022",2:18 pm CET,EU ambassadors will discuss tougher action against Russia over the Ukraine war on Wednesday — but if they were hoping for details of the emerging plan to …
"New German government should change tack over Nord Stream 2, Poland’s PM says","November 28, 2021",2:02 pm CET,
Far-left budget revolt pushes Portugal’s government to the brink,"October 25, 2021",3:34 pm CET,
EU migration wrangle — Economist Joseph Stiglitz — EMA chief Emer Cooke,"August 26, 2021",2:56 pm CET,
UK employment rebounds ‘robustly’ amid Brexit staff shortage fears,"August 17, 2021",11:29 am CET,
Record January borrowing for UK as retail sales plunge,"February 19, 2021",2:30 pm CET,
Europe begins hunt for its next astronauts,"February 16, 2021",4:49 pm CET,
"5 things to know about Mairead McGuinness, the EU’s future finance chief","September 8, 2020",2:32 pm CET,The Irish commissioner-designate is an experienced EU politician.
Quarter of Europe’s jobs at risk from coronavirus crisis: report,"April 20, 2020",12:01 am CET,"Unemployment could almost double in the coming months, McKinsey predicts."
"On WhatsApp, Brussels women network for equality","March 8, 2020",4:07 am CET,"Informal groups share tips on careers, kids and overcoming sexism."
Meet the most powerful woman in Washington not named Nancy,"October 19, 2019",11:24 am CET,The new managing director of the International Monetary Fund must unite the world as leading economies spar over a global slowdown and Trump-inspired trade war.
Swedish slowdown imperils PM’s job promise,"October 8, 2019",4:00 am CET,The Social Democrat leader struggles to retain his credibility as champion of working people.
Greece presents ‘radical’ pro-business budget,"October 7, 2019",8:00 pm CET,"New Democracy vows to boost growth and spending, but its high estimates raise eyebrows."
Macron picks longtime ally as EU commissioner,"August 28, 2019",10:55 am CET,Goulard is a former minister and MEP from the liberal ALDE group.
"Spend, or the populists will","May 10, 2019",4:00 am CET,"Years of painful reform mean the EU is more crisis-resilient, but some states underutilize their fiscal room for maneuver — and others run amok."
Brexit stockpiling boosts UK economy in February,"April 10, 2019",1:11 pm CET,But a no-deal Brexit could tip the U.K. into a two-year recession.
"Romania can’t compete in EU, says finance minister","April 6, 2019",5:16 pm CET,"Labor mobility is ‘good’ for the EU as a whole, but is hurting Romania, according to Eugen Teodorovici."
Davos elites fear they’re on a toboggan ride to hell,"January 25, 2019",5:54 am CET,The global winners here in Switzerland aren’t so sure they’re up to the task of running the world anymore.
"Don’t treat Italy like Greece, Spain’s Borrell tells Brussels","November 20, 2018",12:30 pm CET,"‘Italy cannot afford a second recession,’ warns the veteran Spanish Socialist."
Skills are more important than ever in the digital age,"November 5, 2018",9:00 am CET,"Article by Cesare Onestini, director, European Training Foundation: “Let’s use automation to liberate human expertise, not to marginalize workers.”"
Cuba on the Thames,"September 26, 2018",6:02 pm CET,Get ready for the United Kingdom of Corbyn.
The Greek Rorschach test,"August 19, 2018",6:00 pm CET,The end of the bailout program offers crucial lessons for the future of the eurozone.
"‘Pensions won’t be frozen,’ promises Spain’s Rajoy","March 14, 2018",4:03 pm CET,"The conservative PM relies on aging voters, whose income is being eroded by inflation."
‘The president clearly set himself up’: Trump’s stock market miscalculation,"February 5, 2018",10:42 pm CET,"After cheering the market’s relentless rise, President Trump now faces the reality of its sudden fall."
France and Germany agree on eurozone reform,"January 17, 2018",9:30 am CET,"… Well, their economists do."
Philip Hammond to set aside £3B more for Brexit preparations,"November 22, 2017",2:52 pm CET,The chancellor told MPs UK growth forecasts had been downgraded.
Muriel Pénicaud’s magic formula to fix France,"November 14, 2017",4:13 am CET,"A former HR director uses private-sector skills to overhaul French job training, apprenticeships and unemployment benefits."
Merkel: Economic relations with Turkey will suffer over German detentions,"September 16, 2017",12:42 pm CET,Chancellor seeks to force return of German prisoners but rules out breaking off ties with Ankara.
Why Germany should welcome our robot overlords,"September 6, 2017",1:50 pm CET,A looming skilled-workers shortage threatens to undermine Europe’s largest economy.
Where German parties stand on Europe,"August 28, 2017",4:04 am CET,All mainstream parties run on pro-European tickets but disagree on the details.
Portugal’s António Costa has too much of a good thing,"June 12, 2017",4:03 am CET,Costa’s Portugal is on a roll — but that could spell trouble for the Socialist prime minister.
Eurogroup confronts own deficit: governance,"May 24, 2017",4:00 am CET,
Greater success with projects: Lessons for Europe,"May 18, 2017",9:54 am CET,
"Global finance, Trump strike truce","April 23, 2017",9:22 pm CET,
Pierre Moscovici sees big leap for eurozone,"April 21, 2017",10:41 pm CET,
G20 plays down trade differences with Trump,"April 21, 2017",9:12 pm CET,
"PES family stands for a Europe that is social, fairer and citizen-focused","March 23, 2017",9:38 am CET,
Many EU workers worse off now than 8 years ago: report,"March 13, 2017",11:11 am CET,"Real wages have fallen every year since 2009 in Greece, Croatia, Hungary, Portugal, Cyprus, the UK and Italy."
Leveraging women’s economic potential,"March 8, 2017",9:15 am CET,UN marks International Women’s Day with equality pledge
London’s migrants add £83bn a year to economy: report,"March 2, 2017",11:21 am CET,"City’s 1.8 million migrant workers significantly boost economy, report claimed."
‘Only capital markets can save the European economy’,"February 23, 2017",9:42 am CET,"Brexit has dominated European economic and political discourse for months and will continue to do so. Indeed, today’s POLITICO summit is about the future of capital markets, in …"
Economy is Brits’ top concern: survey,"February 21, 2017",8:06 am CET,Concerns about jobs leaving the UK in the wake of Brexit have unsettled consumers.
"Sharing values, shaping growth","February 14, 2017",9:53 am CET,"Last summer, soldiers at the army base northeast of Riga could be heard joking that at least the Canadians could teach hockey-mad Latvia how to defeat their …"
Finland experiments with giving away free money,"January 25, 2017",5:23 am CET,Ground-breaking basic income trial will test whether it removes barriers to work.
The City gets nervous about Theresa May,"January 9, 2017",4:07 pm CET,Markets will be increasingly sensitive to the Brexit utterances coming from Westminster.
Most migrants in Germany fail to get jobs,"December 19, 2016",9:17 am CET,"More than 400,000 asylum seekers were registered with employment agencies, but only 34,000 got work."
The future of the European capital market,"December 2, 2016",10:57 am CET,How best to support and nurture the vital SMEs that provide more than half of all EU jobs
No direct ‘Trump-effect’ on German economy: survey,"November 24, 2016",1:23 pm CET,Research shows that German firms are slightly less optimistic about the coming months.
Brexit hobbles UK growth outlook,"November 23, 2016",3:31 pm CET,Philip Hammond delivers bleak news for the UK economy in his first — and last — Autumn Statement.
Brexit hits Manchester United’s debt,"November 17, 2016",4:57 pm CET,"Net debt has ballooned to £338 million, and currency fluctuations are partly to blame."
Sadiq Khan to anti-Trump American talent: ‘London is open’,"November 16, 2016",3:13 pm CET,Invitation comes amid reports that some Americans are studying options to emigrate.
Germany: Don’t assume EU budget stays as flush post-Brexit,"November 16, 2016",5:35 am CET,Funds currently going to the U.K. “should not simply flow into pre-existing structures.”
Jens Spahn: EU Budget will not automatically remain the same once the UK leaves,"November 16, 2016",5:33 am CET,German deputy Finance Minister tells POLITICO that the EU budget shouldn’t necessarily remain at its current level once the U.K. leaves the bloc.
Innovation and growth: A European perspective,"November 4, 2016",4:15 pm CET,How Europe can ease its ‘funding bottleneck’ and rival the US start-up culture
Theresa May’s secret business love affair,"November 2, 2016",5:33 am CET,Business may find more to like in the UK prime minister’s actions than in her words.
Brexit gives UK tree growers reason to be jolly,"October 26, 2016",1:42 pm CET,This Christmas season more locally grown trees could be sold due to the falling value of the pound.
Does a European culture exist?,"October 21, 2016",4:10 pm CET,"Culture could be the glue that binds nations together, says writer and psychoanalyst Julia Kristeva."
François Hollande gets mugged by political sons,"October 10, 2016",5:30 am CET,Both Macron and Montebourg are circling the French president on a key issue.
Portugal’s ‘contraption’ creaks forward,"October 7, 2016",1:37 pm CET,"Stagnant growth, mountainous debt and a fragile financial sector are stoking fears of a second bailout."
Terror hits Belgian economy,"September 30, 2016",8:57 pm CET,Brussels attacks stunted the country’s promising financial growth.
Mario Draghi warms up for showdown at Bundestag,"September 26, 2016",9:32 pm CET,The European Central Bank chief easily deflected questions from MEPs before heading to face German critics.
Bankers steal virtual cash from the kids,"September 14, 2016",4:24 pm CET,
World Bank’s US dependency has to end,"September 13, 2016",1:27 pm CET,
Court of Auditors: EU payments to Balkans could be reduced,"September 13, 2016",9:29 am CET,
Why Brexit hasn’t destroyed the British economy (yet),"September 11, 2016",6:00 pm CET,
Vote Leave veterans to launch Brexit pressure group,"September 9, 2016",4:56 pm CET,
Deciphering Mario Draghi,"September 8, 2016",7:25 pm CET,
ECB holds fire on more stimulus,"September 8, 2016",1:48 pm CET,Most economists had expected an extension to the central bank’s bond-buying program.
Wolfgang Schäuble goes soft on spending (not),"September 7, 2016",8:39 pm CET,The hardline German minister’s apparent conversion is nothing more than political opportunism.
Jean-Claude Juncker wants to bend European budget rules,"September 7, 2016",7:40 pm CET,"In his annual speech, the Commission president is expected to call for more flexibility in budget deficit calculations."
Top EU court confirms €357 million British car glass cartel fine,"September 7, 2016",10:53 am CET,European Court of Justice upholds record fine against company that conspired to fix windscreen prices.
Spanish ex-minister linked to Panama Papers drops World Bank bid,"September 6, 2016",8:51 pm CET,José Manuel Soria resigned in April after he was linked to tax avoidance scandal.
Greece ignores Commission on statistics dispute,"August 24, 2016",10:12 pm CET,"Brussels says there were no problems with the country’s budget data used for its bailout package, but Athens brushes it off."
Economy in eastern Germany won’t catch up for decades: study,"August 24, 2016",4:09 pm CET,An exodus of young people and low birth rates since 1990 has hindered growth in states from the former GDR.
Local official: Paris tourism going through ‘industrial disaster’,"August 23, 2016",2:10 pm CET,"Despite the Euro championships, there were one million fewer visitors between January and June than in the same period last year."
Millennials split on women earning more than men: poll,"August 22, 2016",1:42 pm CET,"Those aged between 18 and 35 hold broadly progressive views, with climate change their biggest concern."
Brexit an ‘existential threat’ to Gibraltar economy: chief minister,"August 20, 2016",6:31 pm CET,Fabian Picardo is looking for a deal to keep the territory in EU single market despite UK’s divorce.
UK farmers wonder who’ll get the harvest in,"August 18, 2016",10:28 am CET,Rural England is totally dependent on seasonal labor from Eastern Europe.
UK jobless rate fell in the run-up to Brexit vote,"August 17, 2016",11:43 am CET,"The U.K.’s unemployment rate declined between April and June to the lowest level since May 2008, despite the economic uncertainty generated by the June 23 referendum on …"
Brussels lacks stomach for a fight,"August 16, 2016",4:32 pm CET,"If no one sticks up for the rule of EU law, what will hold the bloc together?"
The struggle for Europe’s tourist dollar,"August 11, 2016",4:18 pm CET,"Visitor numbers in Paris are down amid security concerns, while Bulgaria is gearing up for a boom."
Migrants are Germany’s ‘job engine:’ report,"August 11, 2016",12:30 pm CET,Those with foreign origins are creating jobs in more diverse sectors.
"Senior German MEPs threaten to cut EU money to Poland, Hungary","August 10, 2016",12:16 pm CET,Countries that don’t respect EU laws ‘should be deprived of funds.’
Romania’s parties defy PM’s tax-cut warning,"August 9, 2016",6:10 pm CET,The IMF supports the interim PM’s objections to relaxing taxes in an election year.
Q&A with Bank of Italy Governor Ignazio Visco,"August 4, 2016",5:30 am CET,Visco’s first interview following the European Banking Authority publishing results of its recent bank stress test.
5 things to expect if 5Stars win the Italian elections,"August 3, 2016",1:58 pm CET,Anti-establishment movement is ahead in the polls. What would happen if it won?
Turkish minister: Failed coup cost €90 billion,"August 2, 2016",12:38 pm CET,"‘Putschists made Turkey seem like a third world country,’ customs and commerce chief says."
"After Brexit, Theresa May seeks industrial overhaul","August 2, 2016",9:36 am CET,PM says UK must take advantage of opportunities outside EU.
"The banks that, sadly, can’t die","August 1, 2016",11:38 am CET,Too Big To Fail haunts the global financial system.
Jean-Claude Juncker’s next big thing,"August 1, 2016",5:32 am CET,"No longer held back by the Brexit debate, the Commission president has plans to add a ‘social’ dimension to EU policymaking."
Matteo Renzi: no extraordinary budget measures in 2016,"July 31, 2016",3:58 pm CET,Italian premier said there would be no increase in value added tax this year.
EU banks get relatively clean bill of health,"July 30, 2016",12:04 am CET,
5 things to watch in European banks’ stress test results,"July 28, 2016",10:25 pm CET,
"Wolfgang Schäuble bails out Spain, Portugal","July 27, 2016",11:27 pm CET,
"In reversal, Juncker backs sanctions on Spain and Portugal","July 27, 2016",5:34 am CET,
G20 finance ministers pledge closer collaboration on tax evasion,"July 23, 2016",10:55 am CET,
Brexit hits real British economy,"July 22, 2016",3:09 pm CET,
Mario Draghi may soon be thankful for Brexit,"July 21, 2016",7:07 pm CET,The ECB head can reload his ‘whatever it takes’ bazooka to revive eurozone growth.
ECB holds off on post-Brexit stimulus,"July 21, 2016",1:48 pm CET,All eyes now on next monetary policy meeting in September.
Brits think they’ll be better off after Brexit … in 20 years: poll,"July 18, 2016",8:07 pm CET,UK adults more positive about long-term than short-term economic effect of life outside the EU.
Bank of England’s delicate balancing act,"July 14, 2016",3:21 pm CET,Decision to hold interest rates does not mean the UK economy is in the clear.
"Bank of England announces no interest rate cut, for now","July 14, 2016",1:08 pm CET,"In a surprising move, the Bank of England decided to leave its benchmark interest rate unchanged at 0.5 percent."
"Spain, Portugal in line for penalties on budget deficits","July 12, 2016",1:16 pm CET,"Ministers have given potential sanctions the go-ahead, but the Iberian countries may persuade the Commission to be lenient."
Mark Carney angrily rejects accusations of BoE’s political role in Brexit debate,"July 12, 2016",12:06 pm CET,Bank chief says he did not shape the institution’s assessments based on guidance from government.
"Angela Merkel: UK must clarify future of EU relations, fast","July 12, 2016",9:21 am CET,"Merkel said UK an important partner, but EU countries must protect their own interests first."
Italy to face two-decade recession: IMF,"July 12, 2016",8:31 am CET,"Italy will struggle to close the gap with other Eurozone countries, report states."
Economy rains on Portugal’s victory parade,"July 11, 2016",8:22 pm CET,"Iberian neighbors seek to avoid EU fines, but Lisbon worries go beyond sanctions."
French finance minister calls for Portugal to be spared EU sanctions,"July 11, 2016",12:13 pm CET,Michel Sapin says Lisbon has made great efforts to improve its public finances.
Commission declares Spain and Portugal violated budget rules,"July 7, 2016",7:31 pm CET,Madrid and Lisbon could face huge fines for excessive deficits — if other EU governments agree.
Finance insiders: The UK won’t really go,"July 7, 2016",5:30 am CET,Britain scored ‘an astonishingly avoidable own goal.’
Why Europe’s largest economy resists new industrial revolution,"July 6, 2016",6:48 pm CET,"Angela Merkel champions Industry 4.0, urging investment in new technology. German business isn’t heeding the call."
Günther Oettinger urges action against Spain and Portugal over deficits,"July 4, 2016",3:28 pm CET,"Neither country respected their self-imposed budget obligations in 2015, the German commissioner said."
Independence would make Scotland ‘Greece without the sun’,"July 2, 2016",12:06 pm CET,"After Brexit vote, Nicola Sturgeon said it was ‘highly likely’ there would be a fresh referendum."
Brexit triggers talks on reshuffling Commission economic posts,"July 1, 2016",8:30 pm CET,Moscovici could take on some of Dombrovskis’ responsibilities after he replaces Jonathan Hill as financial services chief.
Bank of England could cut rates again as Brexit weighs,"June 30, 2016",6:20 pm CET,UK central banker responds to EU referendum — but says he can’t do politicians’ jobs for them.
MAR is here – What do market participants need to worry about?,"June 29, 2016",2:58 pm CET,The implementation of the Market Abuse Regulation on 3 July has had market participants racing to ensure that they are prepared to comply with FCA guidelines. On …
Scottish independence is new JP Morgan forecast,"June 29, 2016",2:30 pm CET,The City is also likely to suffer losses as financial institutions shift to the EU.
Vodafone considering moving headquarters out of UK post-Brexit,"June 29, 2016",8:26 am CET,"The company wants access to the EU’s free movement of people, capital and goods."
Jean Arthuis: France’s money man comes to Brussels,"June 28, 2016",10:05 am CET,The Parliament’s chief budget negotiator sees the same parochial squabbling at EU level that he saw when he was mayor of a small town.
Political chaos unleashed by Brexit pounds markets for another day,"June 27, 2016",9:03 pm CET,US Treasury Secretary reassures public this isn’t the Lehman Brothers-induced global meltdown all over again.
5 takeaways on a possible Italian bank bailout,"June 27, 2016",3:32 pm CET,"Exploiting Brexit chaos, Renzi makes a big move to rescue domestic lenders without running afoul of Brussels."
Osborne delays post-Brexit budget until after the fall,"June 27, 2016",8:45 am CET,
US markets swoon as economists see threat to America,"June 24, 2016",4:35 pm CET,
Slovaks will try to break the EU ‘integration’ taboo,"June 21, 2016",8:30 pm CET,
Ireland wants Britain to remain … but would take its bankers after Brexit,"June 21, 2016",8:25 pm CET,
European bankers to politicians: Save us from the Americans,"June 21, 2016",1:42 pm CET,
Brexit – a business perspective,"June 20, 2016",3:09 pm CET,
"London, Europe both lose if Brexit wins: Jonathan Hill","June 14, 2016",6:01 am CET,"Nine days before referendum, top British political figure in Brussels calls Brexit ‘bad’ for economy, financial stability and single market."
UK house buyers offered Brexit escape clause,"June 13, 2016",1:58 pm CET,Prospective owners offered option to pull out of deals if Britain votes to leave EU.
Inside the Podemos ‘electoral war machine’,"June 5, 2016",5:58 pm CET,Pablo Iglesias: ‘Doing politics for real is doing politics inside TV sets and in the newspapers.’
Just enough Greek debt relief to keep IMF on board,"May 25, 2016",5:57 am CET,The Eurogroup deal is a messy compromise mostly aimed at playing for time.
Greek debt agreement reached,"May 25, 2016",3:46 am CET,Eurogroup to release €7.5 billion of bailout cash in June and more after the summer.
Beer mega-merger gets Brussels’ seal of approval,"May 24, 2016",6:13 pm CET,AB Inbev and SAB Miller’s tie-up gets clearance subject to the sale of brands including Peroni and Pilsner Urquell in Europe.
Berlin resigns itself to Greek compromise,"May 23, 2016",5:30 am CET,IMF won’t play ball with Angela Merkel without debt relief for Athens.
UK Treasury: Brexit means ‘shock’ recession,"May 23, 2016",1:01 am CET,Britain would experience ‘an immediate and profound economic shock’ if it leaves the EU.
George Osborne: Brexit will hit UK house prices hard,"May 20, 2016",11:00 pm CET,The Chancellor of Exchequer paints another nightmare scenario that would follow Britain’s withdrawal from the EU.
Dombrovskis: Turkey won’t be part of EU for next five years,"May 18, 2016",7:57 pm CET,"Turkey will not be a member of the European Union in five years’ time, said Valdis Dombrovskis, the European Commission vice-president for the euro and social dialogue. …"
Europe ducks hard call on budget rules,"May 18, 2016",6:05 pm CET,Commission’s decision to spare Madrid and Lisbon for breaching deficit ceilings is a byproduct of the EU’s fragile politics.
"Commission spares Spain and Portugal on deficit, for now","May 18, 2016",1:02 pm CET,The European Commission has delayed its decision on potentially fining Spain and Portugal for exceeding the EU’s budget deficit limit of 3 percent of GDP. The college …
Hedge fund titans lament: Central banks stole our mojo!,"May 17, 2016",6:06 pm CET,"Once seen as financial superheroes, billionaire money managers are struggling to decipher today’s central-bank driven markets."
IMF chief: Nothing positive for UK from Brexit,"May 13, 2016",3:45 pm CET,Economic consequences of leaving the EU will be either ‘bad or very bad.’
Bank of England’s alarm bells getting louder on Brexit,"May 12, 2016",6:18 pm CET,Governor Mark Carney says the uncertainty the UK economy faces is highest since the euro crisis.
"Attacks had ‘modest impact’ on economy, Belgian Central Bank chief says","May 12, 2016",5:55 pm CET,Brussels hotel and restaurant owners have complained about losses because of fewer tourists.
Iain Duncan Smith: UK Treasury has no long-term economic plan,"May 12, 2016",2:10 pm CET,The Brexit campaigner and former Tory leader says the Treasury has to be broken up.
Spain and Portugal at risk of EU sanctions over national budgets,"May 11, 2016",9:52 pm CET,Both countries’ deficits have repeatedly exceeded the bloc’s limit of 3 percent of GDP.
Commission to sanction Madrid and Lisbon over national budgets: report,"May 11, 2016",3:13 pm CET,Both countries’ deficits exceed the EU’s limit of 3 percent of GDP.
Eurogroup says Greek bailout deal closer,"May 9, 2016",7:42 pm CET,"After a special meeting of the Eurogroup to discuss the next phase of the Greek bailout in Brussels on Monday, ministers from the 19 eurozone countries said …"
Michael Gove: Staying in EU means losing economic autonomy,"May 8, 2016",12:47 pm CET,"EU is pushing for more control of banking regulation and taxes, says UK justice secretary."
Commission: Greece has ‘basically achieved’ required reforms,"May 8, 2016",12:44 pm CET,Jean-Claude Junker spoke ahead of Monday’s meeting of eurozone finance ministers.
IMF could pull out of Greece rescue plan: report,"May 7, 2016",9:52 am CET,"In a leaked letter, Christine Lagarde urges foreign lenders to agree on restructuring Greece’s runaway debt."
Poland’s finance minister tries to keep constitutional crisis under wraps,"May 5, 2016",2:35 pm CET,Amid growing worries that a political deadlock may affect the country’s credit rating.
Ready to look after London’s economic interests,"May 4, 2016",3:11 pm CET,
