headline,url,description,date,sentiment,sentiment_score
Malta to be connected to new European capital through new legacy airline in coming weeks – Bartolo,https://maltabusinessweekly.com/malta-to-be-connected-to-new-european-capital-through-new-legacy-airline-in-coming-weeks-bartolo/27626/,"Malta is set to be connected by air to a new European capital city through a new legacy airline in the coming weeks, which will open the possibility of new connections to the United States of America and Asia, Tourism Minister Clayton Bartolo told Parliament on Monday. Bartolo was speaking in...",2024-11-19T18:26:19+00:00,positive,0.8139922618865967
Unlock incredible offers in Dubai this winter with My Emirates Pass,https://maltabusinessweekly.com/unlock-incredible-offers-in-dubai-this-winter-with-my-emirates-pass/27461/,"Emirates has today announced the return of its popular My Emirates Pass, allowing passengers to enjoy exclusive offers at hundreds of locations in Dubai and the UAE. Starting from 1 November to 31 March 2025, My Emirates Pass enables customers to use their boarding pass to enjoy incredible...",2024-11-06T13:24:42+00:00,positive,0.7390615344047546
Top CEOs navigate global turbulence by betting big on AI and talent,https://maltabusinessweekly.com/top-ceos-navigate-global-turbulence-by-betting-big-on-ai-and-talent/27846/,"Top CEOs are backing their businesses to prosper in the face of declining confidence in the global economy, a KPMG survey of more than 1,300 corporate leaders from across the world finds. The research reveals that 92% of CEOs plan to boost employee headcount over the next three years, the...",2024-12-06T09:39:08+00:00,negative,0.5040002465248108
Xjenza Malta hosts joint national event for sustainable maritime development in the Mediterranean,https://maltabusinessweekly.com/xjenza-malta-hosts-joint-national-event-for-sustainable-maritime-development-in-the-mediterranean/27588/,"Xjenza Malta, the National Agency for Research, Innovation, and Space, in collaboration with WestMED – National Hub Malta/Italy and the Malta Maritime Forum, organised the joint Maltese-Italian event Navigating the Future – Innovative Solutions for Sustainable Maritime Development in the...",2024-11-15T18:54:35+00:00,positive,0.7499852180480957
Melita reduces data roaming rates outside the EU to just 10 cents per megabyte,https://maltabusinessweekly.com/melita-reduces-data-roaming-rates-outside-the-eu-to-just-10-cents-per-megabyte/27530/,"Melita Limited has cut data roaming rates across 25 countries outside the EU and UK, with prices now a mere 10 cents per megabyte - a fraction of previous costs. This reduction allows Melita customers to enjoy some of the lowest roaming rates available in 60 non-EU countries.In addition, Melita...",2024-11-12T14:28:54+00:00,negative,0.9305076003074646
Game Lounge claims top honours at SBC Awards Latinoamérica and EGR Italy,https://maltabusinessweekly.com/game-lounge-claims-top-honours-at-sbc-awards-latinoamerica-and-egr-italy/27512/,"Game Lounge has secured a landmark achievement by winning Casino Affiliate of the Year at the prestigious SBC Awards Latinoamérica 2024, followed by triumph as Casino Affiliate at the EGR Italy Awards. These back-to-back wins across two continents firmly establish Game Lounge as one of the...",2024-11-09T09:22:17+00:00,positive,0.9312422871589661
"‘Labour migration policy doesn’t mention housing,’ UHM says as unions, employers react to document",https://maltabusinessweekly.com/labour-migration-policy-doesnt-mention-housing-uhm-says-as-unions-employers-react-to-document/27969/,"Unions and employer bodies have begun providing their initial reactions to the labour migration policy document. The Malta Business Weekly spoke with representatives from UHM - Voice of the Workers and the Malta Employers' Association about the new labour migration policy, while a statement was...",2025-01-10T13:04:06+00:00,neutral,0.8686531782150269
TCNs entrance in Maltese labour market to be regulated by new policy,https://maltabusinessweekly.com/tcns-entrance-in-maltese-labour-market-to-be-regulated-by-new-policy/27959/,"Isaac Saliba The government yesterday presented a labour migration policy which, in the words of the Prime Minister, is aimed to regulate how workers from outside the European Union could enter the Maltese labour market. Addressing the media, PM Robert Abela said that Malta's population is...",2025-01-10T11:33:20+00:00,neutral,0.8095281720161438
Number of job vacancies up more than 7% in third quarter 2024 – NSO,https://maltabusinessweekly.com/number-of-job-vacancies-up-more-than-7-in-third-quarter-2024-nso/27896/,"In the third quarter of 2024, the number of job vacancies stood at 8,579, an increase of 7.1 per cent over the same period in 2023, the NSO said Thursday. This news release presents the findings of the Job Vacancy Survey (JVS), a quarterly enterprise-based enquiry that provides insights into the...",2024-12-13T10:39:50+00:00,negative,0.3793978989124298
Debono Group launches employee dream sponsorship scheme for 2025,https://maltabusinessweekly.com/debono-group-launches-employee-dream-sponsorship-scheme-for-2025/27869/,"Debono Group has officially launched a sponsorship scheme aimed at empowering its employees to explore and excel in their passions, from motorsports to athletics and beyond. The programme was kicked off with a day of activities, highlighting the company's commitment to personal and professional...",2024-12-11T08:37:39+00:00,positive,0.8449942469596863
Passenger traffic through Malta International Airport hits new milestone of 8 million movements,https://maltabusinessweekly.com/passenger-traffic-through-malta-international-airport-hits-new-milestone-of-8-million-movements/27876/,"Malta International Airport welcomed more than 8.3 million passengers between January and November this year, with the 8 millionth passenger milestone being reached for the first time in the airport’s history on the 12 November. Marking a 15.0 per cent increase over the same comparable period...",2024-12-12T08:11:57+00:00,positive,0.9486302137374878
‘Only divine intervention can solve some bottlenecks created by tourist over-capacity’ – Tony Zahra,https://maltabusinessweekly.com/only-divine-intervention-can-solve-some-bottlenecks-created-by-tourist-over-capacity-tony-zahra/27747/,The president of the Malta Hotels and Restaurants Association (MHRA) Tony Zahra said that some of the bottlenecks created as a result of tourist over-capacity can only be solved by “divine intervention”. Zahra spoke to The Malta Independent on Sunday following a Deloitte survey commissioned by...,2024-11-28T05:27:00+00:00,negative,0.46673741936683655
AX Group wins Gold Award for Family Business of the Year at the Malta Business Awards,https://maltabusinessweekly.com/ax-group-wins-gold-award-for-family-business-of-the-year-at-the-malta-business-awards/27719/,"AX Group is proud to announce that it has been awarded the Gold Award for Family Business of the Year at the Malta Business Awards 2024, organised by the Malta Chamber of SMEs in collaboration with Malta Enterprise. This prestigious accolade recognises the Group’s commitment to family values...",2024-11-26T14:12:16+00:00,positive,0.9048373103141785
Bartolo kicked out of PL parliamentary group as new ‘circumstances’ emerge – PM Abela,https://maltabusinessweekly.com/bartolo-kicked-out-of-pl-parliamentary-group-as-new-circumstances-emerge-pm-abela/27711/,"Clayton Bartolo has not only resigned as Tourism Minister, but he has also been kicked out of the Labour Party parliamentary group as new circumstances have emerged, Prime Minister Robert Abela said Tuesday. Speaking to journalists, Abela said that Bartolo will no longer represent the Labour...",2024-11-26T11:59:06+00:00,negative,0.8960371017456055
HSBC and Hudson Group collaborate to sponsor a new outdoor playground for Inspire,https://maltabusinessweekly.com/hsbc-and-hudson-group-collaborate-to-sponsor-a-new-outdoor-playground-for-inspire/27904/,"HSBC Malta Foundation and Hudson Foundation have partnered with Inspire to support two impactful projects: the creation of a new outdoor playground in Bulebel for LinC students with autism and challenging behaviours, and major renovations at Inspire’s Marsaskala facility, which will benefit...",2024-12-16T08:40:52+00:00,positive,0.9281419515609741
Project Green’s garden project in Kirkop receives green light,https://maltabusinessweekly.com/project-greens-garden-project-in-kirkop-receives-green-light/27541/,"Project Green has received the Planning Authority’s approval to create an open space in Triq Nerik Scerri, a site designated for development until a few months ago. The Lands Authority passed the Kirkop site to Project Green, along with three other sites in Lija, Luqa, and Ta’ Giorni, to develop...",2024-11-12T14:42:44+00:00,positive,0.5332034826278687
Celebrating culture: Bank of Valletta backs Gozo’s 2024 operatic season,https://maltabusinessweekly.com/celebrating-culture-bank-of-valletta-backs-gozos-2024-operatic-season/27505/,"In a milestone year marking its 50th anniversary, Bank of Valletta renewed its support towards Gozo’s celebrated operatic season, brining Giacomo Puccini’s Il Trittico and Giuseppe Verdi’s Giovanna d’Arco. These productions reflect both Gozo’s rich cultural heritage and Bank of Valletta’s...",2024-11-09T09:11:28+00:00,positive,0.932481050491333
"40,000 square meters of new open spaces by end of year – Miriam Dalli",https://maltabusinessweekly.com/40000-square-meters-of-new-open-spaces-by-end-of-year-miriam-dalli/27421/,"By the end of this year, the public will be able to enjoy 40,000 square meters of new open spaces, the environment ministry has said. ""Additionally, over the coming year, the Public Works Department will be undertaking 15 open space projects with a direct investment of €22 million. This...",2024-10-31T10:30:20+00:00,positive,0.7505890130996704
16 local councils in financial trouble as they owe more money than they have,https://maltabusinessweekly.com/16-local-councils-in-financial-trouble-as-they-owe-more-money-than-they-have/27924/,"16 local councils are in financial trouble as at the end of 2023 they owed more money than they had, a report by the National Audit Office has highlighted. The NAO said in a report that there were 16 local councils which ended the 2023 financial year with a negative working capital - something...",2024-12-19T08:00:18+00:00,negative,0.9731615781784058
Parliament approves 2025 Budget estimates for all government ministries,https://maltabusinessweekly.com/parliament-approves-2025-budget-estimates-for-all-government-ministries/27915/,"Parliament has officially approved the 2025 Budget estimates for all government ministries. The decision confirms the allocation of funds to various sectors, reflecting the government's plans for fiscal, social, and economic development for 2025. Key highlights for next year’s Budget include tax...",2024-12-16T19:55:26+00:00,neutral,0.5635053515434265
PwC Malta’s CEO Confidence Tracker reveals general lack of enthusiasm around 2025 budget measures,https://maltabusinessweekly.com/pwc-maltas-ceo-confidence-tracker-reveals-general-lack-of-enthusiasm-around-2025-budget-measures/27909/,"The latest PwC CEO Confidence Tracker which was carried out following the announcement of the 2025 Budget, captures the sentiment of Malta’s top business leaders in the last quarter of year and the reaction to the measures announced in the same Budget. Amongst its outcomes it revealed that the...",2024-12-16T08:52:10+00:00,neutral,0.620087206363678
"Court revokes permit to add six floors on Ramel Buildings on Tower Road, Sliema",https://maltabusinessweekly.com/court-revokes-permit-to-add-six-floors-on-ramel-buildings-on-tower-road-sliema/27892/,"Flimkien għal Ambjent Aħjar (FAA) said Friday it has secured a significant victory in its ongoing battle to protect Malta's cultural heritage as the Court has revoked the controversial permit PA/08677/21 to add six floors on Ramel Buildings on Tower Road c/w in Isouard Street, Sliema. This...",2024-12-13T10:34:58+00:00,positive,0.9303200244903564
Court revokes original Villa Rosa permit,https://maltabusinessweekly.com/court-revokes-original-villa-rosa-permit/27889/,"The Court of appeal has revoked the original permit for the Villa Rosa development. The application in question dealt with the renewal of an application that was approved in 2016. The description of works read: ""Demolition of all existing buildings forming part of St. George's Bay Hotel and...",2024-12-13T10:30:52+00:00,neutral,0.6942324042320251
"Fort Chambray mega-development, dismantling of British barracks approved by PA",https://maltabusinessweekly.com/fort-chambray-mega-development-dismantling-of-british-barracks-approved-by-pa/27886/,A mega-development proposed within Fort Chambray in Gozo and the dismantling of a British barracks building within the same complex has been approved by the Planning Authority. Both – which were separate applications – were approved by a majority of five votes to two during a Planning Board...,2024-12-13T10:27:37+00:00,neutral,0.7184565663337708
Agreement on EU fishing quotas for 2025,https://maltabusinessweekly.com/agreement-on-eu-fishing-quotas-for-2025/27901/,"Parliamentary Secretary for Fisheries, Aquaculture, and Animal Rights, Alicia Bugeja Said, attended the final 2024 meeting of the EU Council of Agriculture and Fisheries Ministers in Brussels. The meeting addressed several critical topics affecting these sectors. The Parliamentary Secretary...",2024-12-12T17:23:00+00:00,neutral,0.9067408442497253
Malta’s trade deficit narrows in October 2024,https://maltabusinessweekly.com/maltas-trade-deficit-narrows-in-october-2024/27867/,"For the month of October 2024, provisional figures for registered trade in goods in Malta are showing a deficit of €300.4 million as opposed to a deficit of €307.2 million in the corresponding month of 2023. Total trade in goods: October 2024 Data in this news release presents all international...",2024-12-10T20:25:12+00:00,neutral,0.695003867149353
"S&P affirms Malta ‘A-/A-2’ Ratings, but country scores weakly in corruption perception",https://maltabusinessweekly.com/sp-affirms-malta-a-a-2-ratings-but-country-scores-weakly-in-corruption-perception/27859/,"S&P Global Ratings has affirmed its 'A-/A-2' long- and short-term sovereign credit ratings on Malta. The outlook remains stable. In their review published late on Friday, S&P noted that Malta's economy has continued to expand rapidly and that its debt levels are manageable. The agency also noted...",2024-12-07T14:30:05+00:00,positive,0.9478324055671692
Ian Borg calls on Russia to withdraw from Ukraine and ‘end this war’ in OSCE council meeting opening,https://maltabusinessweekly.com/ian-borg-calls-on-russia-to-withdraw-from-ukraine-and-end-this-war-in-osce-council-meeting-opening/27842/,"Deputy Prime Minister and Foreign Affairs Minister Ian Borg has used his opening address of the 31st Ministerial Council meeting of the OSCE to call on Russia to withdraw from Ukraine and “end this war.” Speaking at the Mediterranean Fairs and Conventions Centre in Ta’ Qali, where the meeting is...",2024-12-05T11:40:57+00:00,neutral,0.7616077065467834
Call for tenders announced for Malta’s first offshore wind energy project,https://maltabusinessweekly.com/call-for-tenders-announced-for-maltas-first-offshore-wind-energy-project/27834/,"The Government has launched a public call to develop Malta's first offshore renewable energy project, located 12 nautical miles off the Maltese coast within the country's Exclusive Economic Zone. Speaking at a press conference at Fort St. Angelo alongside Minister for Energy Miriam Dalli, Prime...",2024-12-05T11:00:42+00:00,positive,0.5207208395004272
Security and the Polish Presidency of the Council of the EU,https://maltabusinessweekly.com/security-and-the-polish-presidency-of-the-council-of-the-eu/27966/,"On 1 January, Poland assumed the presidency of the Council of the EU. What does this concretely mean? It means that the Council formations, from working parties to ministerial councils, will be in general chaired by Polish bureaucrats and politicians. Besides, Poland will be able to push the...",2025-01-10T12:56:31+00:00,neutral,0.7195107936859131
BOV Bugibba and Ħal Luqa branches reopen with modern upgrades,https://maltabusinessweekly.com/bov-bugibba-and-hal-luqa-branches-reopen-with-modern-upgrades/27981/,"Following weeks of intensive work, the Bugibba and Ħal Luqa branches have reopened their doors to customers, offering a modern and refreshed environment designed to deliver customers a superior banking experience. These renovations underscore the Bank’s dedication to continually improve its...",2025-01-11T09:04:50+00:00,positive,0.9467251896858215
The Malta Chamber and PwC Malta renew gold collaboration agreement,https://maltabusinessweekly.com/the-malta-chamber-and-pwc-malta-renew-gold-collaboration-agreement/27813/,"The Malta Chamber of Commerce, Enterprise and Industry and PwC Malta have renewed their gold collaboration agreement, underscoring their commitment to fostering business community growth and supporting a forward-looking vision for the country. Since 2022, this partnership has driven meaningful...",2024-12-03T10:03:33+00:00,positive,0.9454703330993652
KPMG in Malta unveil latest construction report at the Property Malta National Conference 2024,https://maltabusinessweekly.com/kpmg-in-malta-unveil-latest-construction-report-at-the-property-malta-national-conference-2024/27807/,"KPMG in Malta launched the 8th edition of the Construction Industry and Property Market report at the Building our Future | Property Malta National Conference 2024, on Tuesday 19 November 2024. This event, which brought together developers, property investors, agents, bankers, legal and...",2024-12-02T18:00:34+00:00,neutral,0.8893425464630127
The winners of the Malta International Business Awards 2024 announced,https://maltabusinessweekly.com/the-winners-of-the-malta-international-business-awards-2024-announced/27796/,"The highly anticipated Malta International Business Awards 2024 culminated in a prestigious gala dinner on 29 November at the Radisson BLU, Golden Sands, where Malta’s top business leaders gathered to celebrate the outstanding achievements of Malta-based businesses thriving on the international...",2024-11-30T08:28:18+00:00,positive,0.8138669729232788
"By end of October 2024, government debt stood at over €10.2 billion",https://maltabusinessweekly.com/by-end-of-october-2024-government-debt-stood-at-over-e10-2-billion/27793/,"At the end of October 2024, Central Government debt stood at €10,260.8 million, an increase of €579.9 million when compared to 2023, the National Statistics Office (NSO) said. ""The increase reported under Malta Government Stocks (€667.2 million) was the main contributor to the rise in debt...",2024-11-30T08:05:31+00:00,positive,0.9261926412582397
"Mixed outcome for business on Black Friday, some sectors report lower than average sales",https://maltabusinessweekly.com/mixed-outcome-for-business-on-black-friday-some-sectors-report-lower-than-average-sales/27791/,"Feedback reported to the Malta Chamber of SMEs on Black Friday results indicates mixed outcomes, the chamber said in a statement Friday. While some businesses experienced very positive sales and some reported increase in sales, others reported a decline compared to the previous year. With...",2024-11-30T08:01:36+00:00,negative,0.9095460772514343
"More than 2,000 working together in final preparations for the OSCE Ministerial Council",https://maltabusinessweekly.com/more-than-2000-working-together-in-final-preparations-for-the-osce-ministerial-council/27781/,"More than 2,000 public servants and service providers are coming together in the organisation of next week’s OSCE Ministerial Council, the largest ministerial conference ever held in Malta. On Thursday afternoon, the Deputy Prime Minister and Minister for Foreign Affairs and Tourism and...",2024-11-29T10:07:00+00:00,neutral,0.8526252508163452
Annual growth in business activity stood close to its long-term average – CBM’s Economic Update,https://maltabusinessweekly.com/annual-growth-in-business-activity-stood-close-to-its-long-term-average-cbms-economic-update/27775/,"The Bank’s Business Conditions Index shows that in October, annual growth in business activity rose marginally when compared with September and stood close to its historical average. The European Commission’s economic sentiment indicator for Malta increased and stood above its long-term average...",2024-11-29T09:46:49+00:00,positive,0.9570420980453491
The Malta Chamber and BMIT renew Bronze Sponsorship Agreement,https://maltabusinessweekly.com/the-malta-chamber-and-bmit-renew-bronze-sponsorship-agreement/27767/,"The Malta Chamber of Commerce, Enterprise and Industry and BMIT Technologies plc. have announced the renewal of their Bronze Collaboration Agreement, marking a continued partnership aimed at fostering greater awareness and education within the local business community on vital technology-related...",2024-11-29T09:30:28+00:00,positive,0.93673175573349
"WasteServ’s employees to receive up to €2,000 more under a new collective agreement",https://maltabusinessweekly.com/wasteservs-employees-to-receive-up-to-e2000-more-under-a-new-collective-agreement/27760/,"WasteServ's employees are set to benefit from annual salary increases ranging between €1,000 and €2,000 under a newly signed collective agreement, the agency said Thursday. The agreement, signed between the entity's management and the UHM Voice of the Workers, also reinforces WasteServ's...",2024-11-29T09:23:23+00:00,positive,0.9521409273147583
"EU must deepen ‘fragmented, overly-complex’ single market – EESC president Stefano Mallia",https://maltabusinessweekly.com/eu-must-deepen-fragmented-overly-complex-single-market-eesc-president-stefano-mallia/27733/,"Regulation is necessary but it has become so excessively complex that some companies have built entire businesses around helping other businesses manage this bureaucratic overload in the European Union, Stefano Mallia, president of the European Economic and Social Committee said. In an interview...",2024-11-28T08:20:37+00:00,neutral,0.6085270643234253
"Government launches land registration system reform, aiming for all land to be registered by 2035",https://maltabusinessweekly.com/government-launches-land-registration-system-reform-aiming-for-all-land-to-be-registered-by-2035/27749/,"Lands Minister Stefan Zrinzo Azzopardi launched the National Strategy for the reform of the country's land registration system for public consultation, with the aim being for Malta to become a compulsory registration area by 2035. Zrinzo Azzopardi spoke at a press conference on Monday, during...",2024-11-27T20:29:00+00:00,neutral,0.7934044599533081
Chamber of SMEs launches Black Friday offers,https://maltabusinessweekly.com/chamber-of-smes-launches-black-friday-offers/27713/,"The Malta Chamber of SMEs has launched its Black Friday campaign for this year, once again showcasing exclusive offers through the dedicated website www.blackfridaymalta.eu. This platform not only promotes businesses' Black Friday deals but also provides customers with an easy and efficient tool...",2024-11-25T05:03:00+00:00,neutral,0.5993620753288269
Malta Business Registry to offer APIs to subject persons,https://maltabusinessweekly.com/malta-business-registry-to-offer-apis-to-subject-persons/27705/,"Following a workshop held earlier this year with all stakeholders, including Corporate Service Providers (CSPs), the Malta Business Registry (MBR) is set to offer new Application Programming Interfaces (APIs) aimed at enhancing collaboration and digital services for Subject Persons. This...",2024-11-21T09:02:45+00:00,positive,0.6307684183120728
"Government developing regulatory framework for public-private partnerships, says MSPP",https://maltabusinessweekly.com/government-developing-regulatory-framework-for-public-private-partnerships-says-mspp/27678/,"The government is working to develop a regulatory framework for public-private partnerships (PPPs), tailored to Malta's unique needs, a statement by Malta Strategic Partnership Projects Limited read. ""Studies on international and European models are currently being carried out to identify best...",2024-11-20T19:55:12+00:00,positive,0.6334067583084106
Cost Benefit Analysis carried out for roofing of Santa Venera Regional Road tunnels – Minister Dalli,https://maltabusinessweekly.com/cost-benefit-analysis-carried-out-for-roofing-of-santa-venera-regional-road-tunnels-minister-dalli/27675/,"A Cost Benefit Analysis (CBA) was carried out with different designs in order to determine the best model that can be adopted regarding the roofing of the regional road tunnels in Santa Venera, Environment and Energy Minister Miriam Dalli said as she replied to a question posed by Nationalist...",2024-11-20T19:50:02+00:00,positive,0.6448237299919128
AP Valletta overall winner of XVIII Din l-Art Ħelwa Architectural Heritage Awards,https://maltabusinessweekly.com/ap-valletta-overall-winner-of-xviii-din-l-art-helwa-architectural-heritage-awards/27667/,"AP Valletta has been awarded the ‘Judge Maurice Caruana Curran Award’ in the XVIII Architectural Heritage Awards. The award is named after the founder of Din l-Art Ħelwa, which next year celebrates its 60th anniversary with a comprehensive list of events. The awards, sponsored by Belair...",2024-11-20T13:40:28+00:00,neutral,0.6308771371841431
‘Public and private finance need to be scaled up so that the most vulnerable can adapt to Climate Change’ – Malta at COP29,https://maltabusinessweekly.com/public-and-private-finance-need-to-be-scaled-up-so-that-the-most-vulnerable-can-adapt-to-climate-change-malta-at-cop29/27661/,"“The 1.5-degree target is a matter of survival for millions around the world,” declared Minister for the Environment, Energy and Regeneration of the Grand Harbour Miriam Dalli during Malta’s national statement at COP29 in Baku. Calling for immediate and decisive action, the minister urged...",2024-11-20T12:03:17+00:00,positive,0.7116944193840027
Alicia Bugeja Said attends EU Fisheries Ministers’ Council in Brussels,https://maltabusinessweekly.com/alicia-bugeja-said-attends-eu-fisheries-ministers-council-in-brussels/27658/,"The Parliamentary Secretary for Fisheries, Aquaculture, and Animal Rights, Alicia Bugeja Said, participated in the European Council of Agriculture and Fisheries Ministers in Brussels. The meeting discussed various topics related to the sustainability of the sectors, fishing quotas in the...",2024-11-20T12:00:28+00:00,neutral,0.8754540681838989
"Digitalisation boosts governance, transparency and streamlines processes – MBR and The Malta Chamber",https://maltabusinessweekly.com/digitalisation-boosts-governance-transparency-and-streamlines-processes-mbr-and-the-malta-chamber/27611/,"The collaboration between the Malta Business Registry (MBR) and The Malta Chamber of Commerce, Enterprise and Industry has resulted in improved communication and initiatives aimed at enhancing MBR’s services to the local business community. MBR in collaboration with The Malta Chamber held a...",2024-11-19T14:00:33+00:00,positive,0.9247912168502808
€8 million in financial assistance for Maltese and Gozitan fishers,https://maltabusinessweekly.com/e8-million-in-financial-assistance-for-maltese-and-gozitan-fishers/27593/,"During a press conference the Parliamentary Secretary for Fisheries, Aquaculture, and Animal Rights, Alicia Bugeja Said, announced several initiatives and financial aids for the fisheries sector, including support specifically for young fishers. Bugeja Said explained that one of the schemes will...",2024-11-15T19:03:15+00:00,positive,0.7307709455490112
Malta tops European Commission’s economic growth forecast for 2025,https://maltabusinessweekly.com/malta-tops-european-commissions-economic-growth-forecast-for-2025/27586/,"The Maltese economy maintains its growth momentum on the back of strong domestic demand and export performance. “Tourism arrivals to Malta continue to grow, while the strong employment and recovering real wages are supporting consumption,” the European Commission said. The Commission noted that...",2024-11-15T18:45:48+00:00,positive,0.9581969380378723
"Sicily approves second interconnector project, paving the way for Rome’s go-ahead",https://maltabusinessweekly.com/sicily-approves-second-interconnector-project-paving-the-way-for-romes-go-ahead/27577/,"Sicily, officially the Regione Siciliana, has given its go-ahead for Malta to develop its second interconnector (IC2), which will strengthen the island's network connection with mainland Europe, a statement by Interconnect Malta read. ""This formal approval, known as the Intesa Finale, marks an...",2024-11-14T20:48:00+00:00,positive,0.9107661247253418
GO takes bold step into energy sector with launch of GO ENERGI,https://maltabusinessweekly.com/go-takes-bold-step-into-energy-sector-with-launch-of-go-energi/27546/,"GO’s commitment to climate action has entered a new phase with the launch of GO ENERGI, a new product designed to help make sustainable energy solutions more accessible to everyone and effectively putting a more concrete footing into the energy sector. This move stems from GO’s strategic...",2024-11-14T07:48:26+00:00,positive,0.8576993346214294
Pre-1995 rent subsidies cost government €7 million this year,https://maltabusinessweekly.com/pre-1995-rent-subsidies-cost-government-e7-million-this-year/27533/,"The government’s reform to handle pre-1995 rents has cost it around €7 million in subsidies to over 2,000 people whose residences were subject to such rental agreements. Minister for Social and Affordable Housing, Roderick Galdes, spoke at a press conference on pre-1995 rental agreements...",2024-11-12T14:35:45+00:00,neutral,0.4030665159225464
"In October, final deeds of sale down, promise of sale agreements up – NSO",https://maltabusinessweekly.com/in-october-final-deeds-of-sale-down-promise-of-sale-agreements-up-nso/27538/,"In October 2024, the number of final deeds of sale relating to residential property amounted to 1,121, a decrease of 1.4% when compared to those registered in October 2023, the National Statistics Office said Tuesday. The value of these deeds totalled €295.2 million, representing a decrease of...",2024-11-12T04:37:00+00:00,negative,0.9317233562469482
