headline,date,description,sentiment,sentiment_score
Customised loans from BOV for medical and cosmetic procedures,2025-02-24 09:53:00,"Local and international trends show an ever-growing demand for medical and cosmetic procedures. People of all ages are taking up such procedures, from younger individuals looking for preventative,...",neutral,0.6920457482337952
BOV at the forefront of digital transformation and innovation with Microsoft,2025-02-24 09:51:00,"Bank of Valletta is consolidating its strategic partnership with Microsoft through a series of business activities as part of its digital transformation journey, introducing a new Cloud Centre of...",positive,0.8074461221694946
"CMBS hosts annual graduation ceremony, celebrating over 260 graduates",2025-02-24 09:51:00,"Central Mediterranean Business School (CMBS) hosted its annual graduation ceremony at the Radisson Golden Sands on Friday, 7th February. With over 260 graduates taking the stage, the event  was...",positive,0.7332117557525635
Temu partners with MaltaPost to enhance delivery services in Malta,2025-02-24 09:48:00,"Temu, the global direct-from-factory online marketplace, has announced a strategic partnership with MaltaPost to enhance last mile delivery services in Malta. This collaboration combines Temu's...",positive,0.9270363450050354
"Malta: Extending our hospitality; if, and when, a Ukrainian peace agreement is reached",2025-02-23 08:00:00,"Stop and reflect upon the geopolitical landscape between the Ukraine, United States and Russia. This is certainly complex and often tense. It is influenced by various factors including military...",neutral,0.5593867301940918
The Melita Foundation celebrates five years of making a difference,2025-02-21 11:16:00,"The Melita Foundation at St John's Cathedral. From left: Mireille Muscat, Amanda Holmes, Harald Roesch, CEO of Melita Limited, Charlene Ciantar, Prof. Tanya Sammut-Bonnici, Foundation Chair, Maria...",neutral,0.9325698018074036
APS Bank continues its head office transformation with latest workspace upgrades,2025-02-21 11:15:00,"APS Bank has recently completed another major refurbishment of an entire floor at its head office in Swatar. The project brings all units within the Risk Department together on one floor, improving...",positive,0.906765878200531
AP Valletta appoints new partnership team,2025-02-21 11:12:00,"From left: Rosanne Asciak, Erica Giusta, Konrad Buhagiar, Danica Cachia Mifsud, Charles Sciberras, Simone Vella Lenicker, Jacques Borg Barthet, Chris Mifsud, David Felice, Rory Apap Brown. Photo:...",neutral,0.9303004741668701
BOV retail conference strengthens customer experience,2025-02-20 13:12:00,"Bank of Valletta continues to prioritise customer service excellence through its retail network, with Managers and Team Leads across its retail network discussing ongoing improvements in service...",positive,0.8174703121185303
Eden Leisure Foundation partners with Nature Trust to rehabilitate Wied Ħarq il-Ħammiem,2025-02-19 15:30:00,"The Eden Leisure Foundation (ELF), the philanthropic arm of Eden Leisure Group, is pleased to announce its partnership with Nature Trust FEE Malta aimed at the rehabilitation of Wied Ħarq...",positive,0.9110327363014221
Bitcoin's Role in Malta's Evolving Digital Economy,2025-02-19 13:35:00,"Malta has positioned itself for a long time at the forefront of the digital economy, specifically in the field of cryptocurrencies and blockchain technology. Dubbed the 'Blockchain Island', Malta was...",positive,0.7675866484642029
Envision 2050: A renaissance for better living and a sustainable future,2025-02-16 08:20:00,"Last year, during a quarterly conference, Tony Zahra, president of MHRA, expressed his anger over the hours-long power cuts that affected Malta and Gozo during the summer months. ""We cannot go on...",negative,0.9505512118339539
BOV commemorates International Day of Women and Girls in Science,2025-02-13 09:29:00,"Bank of Valletta proudly commemorated the International Day of Women and Girls in Science, reaffirming its commitment to fostering a diverse and inclusive workplace where professional women with...",positive,0.8680005073547363
MFSA commends insurance market for the effective implementation of new financial reporting standard,2025-02-12 13:47:00,The Malta Financial Services Authority (MFSA) has identified several best practices while carrying out a thematic review among (Re)Insurers on the implementation of the new financial reporting...,positive,0.716494083404541
Robotaxi: One of many solutions for congested roads,2025-02-09 08:00:00,"The daily struggle for drivers to find parking is becoming unbearable due to the lack of serious planning for village parking facilities, partly driven by the expectation of free spaces. No serious...",negative,0.8753154277801514
A rapidly growing fund with a game-changing opportunity for investors,2025-02-05 20:44:00,"The CC Global Balanced Income Fund, a top-performing fund managed by Calamatta Cuschieri Investment Management has delivered a robust total return of 9.34% over one year, net of all...",positive,0.9508094787597656
Game Lounge ups the game with Betlookr,2025-02-04 15:18:00,"Betlookr, Game Lounge's upgraded and rebranded AI-powered sports prediction tool, has been changing the game for sports bettors worldwide since its launch. Building on the success of its popular...",positive,0.4979378283023834
Malta’s entrepreneurs connect in an evening of insights and networking,2025-02-04 15:17:00,Malta's entrepreneurial spirit recently took centre stage at a dynamic event to discuss the challenges and opportunities defining the local business landscape. Hosted by the Foundation for the...,positive,0.720913827419281
HSBC Malta extends partnership with Malta Development Bank to support SMEs with enhanced financing o,2025-02-04 15:02:00,HSBC Malta announced the extension of its agreement with the Malta Development Bank (MDB) to continue offering loans to small and medium-sized enterprises (SMEs) under the SME Guarantee Scheme (SGS)...,positive,0.9224190711975098
New offices for Luxfair Group,2025-02-04 12:42:00,"Luxfair Group, a leader in construction and project development, launched its new offices, marking a new era of innovation and excellence in property development while expanding into new sectors. The...",positive,0.8775109648704529
Trump’s country shopping spree,2025-02-02 08:30:00,"If the US were to buy Greenland, how would one set the price? For companies and other assets, there are valuation methods. But for an entire economy, it would be more complicated, and not just for...",neutral,0.9387715458869934
Leadership change at MeDirect Group,2025-01-31 09:55:00,"After having led the MeDirect Group for more than five years, Arnaud Denis, the Group's Chief Executive Officer, decided to leave MeDirect effective 31 January 2025.  During his time as CEO,...",neutral,0.8160510063171387
Vivian appoints Steven Ellul as Head of Sales & Business Development,2025-01-29 15:53:00,"Vivian, one of Malta's leading players in the pharmaceutical industry, has announced the appointment of Steven Ellul as its new Head of Sales and Business Development, a strategic appointment that...",positive,0.5410496592521667
"MBB welcomes the European Commission’s Competitiveness Compass, urges swift delivery on promises",2025-01-29 15:41:00,The Malta Business Bureau welcomes the European Commission's Competitiveness Compass as a crucial initiative to tackle the EU's long-term economic challenges. MBB CEO Mario Xuereb emphasised that...,positive,0.9176743626594543
"MDB extends flagship SME support schemes in partnership with APS, BOV and HSBC",2025-01-29 15:02:00,"The Malta Development Bank (MDB) is pleased to announce the extension of its two flagship schemes, the SME Guarantee Scheme (SGS) and the Guaranteed Co-Lending Scheme (GCLS), in collaboration with its...",positive,0.9199920296669006
European Institute of Innovation and Technology supports Malta manufacturing start-up,2025-01-28 09:53:00,"ELM Fabrication Limited, a Maltese start-up specialising in large-format 3D printing technology, has launched a project to develop the most accessible large-format 3D printing technology to enter the...",positive,0.8894408345222473
HSBC Malta Volunteer Leave Day sees 421 employees giving back to the community,2025-01-28 09:40:00,"Well over four hundred HSBC Bank Malta employees participated in last year's Volunteer Leave Day initiative, dedicating a day of paid leave to supporting the local community through volunteering at a...",positive,0.696485698223114
Opportunities in motion,2025-01-27 21:35:00,2024 has been another strong year for risky assets as global equities returned circa 19% driven by US economic exceptionalism which remained largely intact throughout the year as the S&P 500...,positive,0.9536232352256775
PwC Survey highlights gaps in AI strategy among businesses,2025-01-27 21:29:00,"PwC Digital has released the findings of its AI Business Survey 2024, shedding light on the current state of AI adoption among businesses in Malta. Conducted by the PwC Digital Services team, the...",neutral,0.6991869211196899
BOV colour my run proceeds donated to Richmond Foundation,2025-01-27 13:52:00,"Bank of Valletta recently partnered with Colour My Run Malta, sponsoring the annual 5K Fun Run as part of the Bank's well-being challenge promoting physical, mental and financial well-being. This was...",neutral,0.5343860387802124
MTA appoints new director of VisitMalta Incentives & Meetings,2025-01-27 13:51:00,"The Malta Tourism Authority is pleased to announce the appointment of Alaine Ciantar as the new Director for VisitMalta Incentives & Meetings. In this role, Alaine will be spearheading the MICE...",neutral,0.7028123140335083
A surrealistic dream about a rock in the Med.,2025-01-26 08:00:00,"Economists view ""development"" as a positive force, signifying transformative change that fosters growth and progress to improve the quality of life for all citizens. Sustainable development can...",neutral,0.6536255478858948
Emirates resumes flights to Beirut and Baghdad,2025-01-24 10:47:00,"Emirates will restart services to Beirut, Lebanon from 1 February with a daily flight. The airline will also reinstate daily services to Baghdad in Iraq on the same day. From February, Emirates'...",positive,0.7802407145500183
Malta businesses resilient amid cost pressures: Optimism for 2024 grows despite mixed sector perform,2025-01-24 10:45:00,"The latest business dialogue held between the Central Bank of Malta and non-financial corporations shows that in the fourth quarter of 2024,  Looking ahead, companies in Malta were more...",positive,0.6190884709358215
Bank of Valletta rings the bell at the Malta Stock Exchange,2025-01-23 20:30:00,"On 21 January 2025, Bank of Valletta (BOV) marked a significant milestone with the listing of its €100 million 5% Unsecured Subordinated Bonds (2029-2034) on the Official List of the Malta Stock...",positive,0.8734682202339172
Epic Malta awarded as country’s Fastest and Best Mobile Network by Ookla®,2025-01-23 11:18:00,"Epic continues to stand at the top of telecommunications in Malta, with Ookla®, a global leader in connectivity intelligence and network insights, naming Epic the Fastest Mobile Network in Malta...",positive,0.8433493375778198
APS Bank launches ‘Milestones’ series to celebrate achievements,2025-01-23 09:28:00,"APS Bank has recently launched its 'Milestones' series, showcasing the Bank's accomplishments across all its areas of work. This initiative will be an ongoing feature highlighting not just financial...",positive,0.5436140894889832
Alexandre Dreyfus launches ‘Qamar Ventures’,2025-01-22 10:43:00,"Alexandre Dreyfus, the net entrepreneur behind blockchain and sports pioneers Chiliz and Socios.com, has announced the launch of Qamar Ventures, an ambitious investment venture focused on transforming...",positive,0.5653374195098877
Malta Business Registry hosts interactive istory Day for secondary students,2025-01-22 09:49:00,"The Malta Business Registry (MBR) In collaboration with the History Teachers' Association (HTA), successfully organised a History Day tailored for secondary students. This event, which drew the...",positive,0.8754593729972839
Mark Zuckerberg and Elon Musk: Shaping the future of global power dynamics,2025-01-19 08:30:00,"Recently, two of the most powerful tech moguls, Mark Zuckerberg and Elon Musk, have taken bold, often controversial steps that transcend the realm of business and venture into the complex world of...",neutral,0.8199597597122192
Ganado Advocates announces George Bugeja as new Partner,2025-01-17 14:32:00,"Ganado Advocates is pleased to announce the promotion of George Bugeja to Partner, effective 1st January 2025. Having been with the firm for several years, George has significantly contributed to the...",positive,0.8111472129821777
Challenge Group registers first ever Boeing 777-300 Converted Freighter in Europe under 9H AOC,2025-01-17 14:21:00,Malta-based Challenge Group on Friday marked a significant milestone in the aviation industry with the registration of the first-ever Boeing 777-300 converted freighter in Europe under the 9H Air...,positive,0.8661414980888367
Sicilia Outlet Village kicks off winter sales and exciting upcoming events for 2025,2025-01-16 13:51:00,Sicilia Outlet Village is starting the 2025 with unbeatable offers and a series of exciting activities to keep visitors entertained and engaged throughout the season. From incredible discounts during...,positive,0.7335787415504456
Is Crypto Betting A Catchy Phrase Or The Evolution Of Gaming With Digital Currencies?,2025-01-14 17:10:00,"Crypto betting, or betting on sports by wagering with cryptocurrencies, is becoming ever more popular. More sportsbooks are accepting crypto, but long-time bettors are skeptical-isn't it all just a...",neutral,0.90179044008255
The Malta Chamber signs Bronze Collaboration Agreement with M. Demajo Group,2025-01-14 13:34:00,"The Malta Chamber of Commerce, Enterprise and Industry is thrilled to announce the signing of a Bronze Collaboration Agreement with the M. Demajo Group. This partnership represents a shared commitment...",positive,0.9228698015213013
PwC Malta announces the appointment of three new partners,2025-01-14 11:17:00,"PwC Malta is pleased to announce the appointment of Joanne Saliba, Michael Borg and Eric Mackay as Partners within the Assurance, Tax, and Advisory service lines, respectively. These...",positive,0.6792288422584534
"Eden Leisure Group and InterContinental Malta Donate €6,000 and Defibrillators to Dar tal-Providenza",2025-01-13 16:04:00,"From left: Victor Formosa (Communications Manager, Dar tal-Providenza), Dollsy Darmanin (HR Manager, ICM), Carina Scerri (Eden Leisure Foundation Secretary & Group HR Manager, Eden Leisure Group),...",neutral,0.9080093502998352
Carlos Moreno: Envisioning a 15-minute city,2025-01-12 08:30:00,"The penny suddenly dropped - watch how the government gallantly appointed an ex-BOV financial analyst, Steve Ellul as the latest CEO of state agency - Infrastructure Malta. It pompously announced...",negative,0.5651124119758606
Are monetary policy decisions in line with market expectations?,2025-01-10 09:55:00,"Chart 3: ECB DFR expectations vs actual monetary policy decisions Source: ECB, ECB Survey of Monetary Analysts Monetary policy expectations play a pivotal role in shaping market...",neutral,0.896709144115448
Inflation: should bygones be bygones?,2025-01-10 09:52:00,"In December 2024 the European Commission published its standard Eurobarometer for autumn 2024, with field work conducted during October of that year. There are several interesting findings that emerge...",neutral,0.8703623414039612
Security and the Polish Presidency of the Council of the EU,2025-01-10 09:34:00,"On 1 January, Poland assumed the presidency of the Council of the EU. What does this concretely mean? It means that the Council formations, from working parties to ministerial councils, will be in...",neutral,0.9208018779754639
Policy-making,2025-01-10 09:31:00,"Over the Christmas period, I read Daniel Kahneman's ground-breaking book, Thinking, Fast and Slow. This book explores the two systems of thinking that govern human decision-making. System I, fast and...",neutral,0.9261044859886169
Malta: Exciting prospects for 2025,2025-01-10 09:27:00,"The Central Bank has taken a bullish stance towards Malta's economy, revising its GDP growth forecasts upwards and saying overall risks to economic growth in 2025 are tilted to the upside. It...",negative,0.5885280966758728
MFSA urges banks to strengthen climate-related and environmental risk management,2025-01-09 16:10:00,"The Malta Financial Services Authority (MFSA) has issued a ""Dear CEO Letter"" emphasising the need for enhanced Climate-related and Environmental (C&E) risk management within Less Significant...",positive,0.8810380101203918
Malta saw largest EU increase of nights booked in accommodation through online platforms in August,2025-01-09 15:25:00,"All EU countries saw an increase in the number of nights booked through online platforms in August 2024, the busiest month in tourism in the EU in general, but the largest increase was found in Malta...",positive,0.9421764016151428
"Labour migration reform shows how government consistently provides solutions, PL says",2025-01-09 15:24:00,"The Labour Party on Thursday welcomed the recommendations made in the Labour Migration Policy launched yesterday for public consultation, which the party said strikes a clear balance between the...",positive,0.8181989192962646
Direct flights between Malta and Qatar to restart in July,2025-01-09 11:09:00,"Qatar Airways will be operating four weekly flights between Malta and Qatar from July, Deputy Prime Minister and Minister for Foreign Affairs and Tourism Ian Borg announced during a visit to Doha on...",positive,0.6505790948867798
2024: More than €5 billion worth of property in promises of sale agreements,2025-01-09 08:53:00,"2024 was a year that saw an impressive number of records broken across Malta's property sector, the Malta Developers Association said Thursday. As the year closed and all the data was collected,...",positive,0.5380584001541138
Seasonally adjusted monthly unemployment rate for November stood at 3%,2025-01-08 11:50:00,"The seasonally adjusted monthly unemployment rate for November 2024 stood at 3%, at par with the previous month, the National Statistics Office (NSO) has said. It decreased by 0.2 percentage...",negative,0.9538430571556091
Updated: Government presents labour migration policy to regulate entrance of TCNs in job market,2025-01-08 11:09:00,"The government on Wednesday presented a labour migration policy which, in the words of the Prime Minister, is aimed to regulate how workers from outside the European Union could enter the Maltese...",neutral,0.9055359363555908
APS Bank hosts Executive Breakfast series to bridge knowledge across teams,2025-01-08 11:08:00,APS Bank has brought to a close another successful year of Executive Breakfasts.  These quarterly events are designed to foster open communication and stronger connections between colleagues and...,positive,0.8176888823509216
APS Bank supports Mumenti’s fundraising effort for Hospice Malta,2025-01-08 11:05:00,"From right: Marcel Cassar, CEO of APS Bank; Jeremy Vassallo, CSR Manager; and Rachael Blackburn, Head of Culture.   APS Bank is proud to have supported Mumenti in raising €15,209,...",positive,0.7892875671386719
HSBC Malta Foundation spreads Christmas cheer to over 30 NGOs,2025-01-08 11:01:00,"This Christmas, the HSBC Malta Foundation has once again embodied the spirit of giving, delivering essential support and festive joy to some of Malta's most vulnerable communities. Partnering with...",positive,0.8811943531036377
Standard and Poor’s upgrades Bank of Valletta’s credit ratings,2025-01-07 14:44:00,"In December 2024, S&P Global Ratings raised its long- and short-term issuer credit ratings on Bank of Valletta to BBB/A-2 from BBB-/A-3. S&P Global Ratings also raised the long-term resolution...",positive,0.945452094078064
ARMS to give compensation to consumers for 2024 summer power outages,2025-01-06 15:21:00,"Consumers, residential or not, who suffered a power outage of over 6 consecutive hours during last summer will be given compensation, the company managing water and electricity bills, ARMS, said...",neutral,0.7331987619400024
Insurance Association of Malta calls for introduction of accident investigation agency,2025-01-06 14:43:00,"The Insurance Association of Malta has called for the implementation of the long-awaited accident investigation agency. In a statement, it said that driving under the influence of alcohol or...",neutral,0.6436859369277954
Bank of Valletta celebrates decades-old tradition with annual event for employees’ children,2024-12-31 12:44:00,"Bank of Valletta continued its cherished festive tradition by hosting the annual Children's event for employees' children on Sunday, 15th December, at the Mediterranean Conference Centre (MCC). This...",positive,0.7252857089042664
2025: Many are invited but only few see the light,2024-12-29 08:00:00,"In a message on the eve of Christmas Day, President Myriam Spiteri Debono stressed the importance of collective responsibility, urging all citizens to recognise their duty to contribute positively to...",positive,0.7039309144020081
BOV’s donation to L-Istrina highlights 50 years of community support,2024-12-26 17:47:00,"Bank of Valletta reaffirmed its commitment to supporting the Malta Community Chest Fund Foundation by presenting a remarkable €310,000 during this year's L-Istrina live broadcast. This...",positive,0.8892816305160522
New collective agreement signed between FSWS and UHM,2024-12-23 17:06:00,"A new collective agreement has been signed between the Foundation for Social Welfare Services and UHM Voice of the Workers, the Ministry for Social Policy and Children’s Rights stated on...",positive,0.7054932713508606
eCabs extends partnership with L-Istrina for nationwide fundraising support,2024-12-23 15:08:00,"eCabs on Monday announced it has extended its logistical partnership with L-Istrina, the annual 12-hour telethon dedicated to raising essential funds for the Malta Community Chest Fund...",positive,0.94502854347229
New collective agreement signed between Manoel Theatre and General Workers’ Union,2024-12-23 15:06:00,"A new collective agreement has been signed between the workers of the Manoel Theatre and the General Workers’ Union, the Ministry for National Heritage, the Arts, and Local Government said on...",positive,0.8504598140716553
"Convenience Shop Group donates €12,000 to l-Istrina in support of Malta Community Chest Fund",2024-12-23 10:54:00,"The Convenience Shop Group has presented a donation cheque of €12,000 to l-Istrina, reinforcing its commitment to supporting NGOs throughout the year.  Speaking on behalf of the...",positive,0.8091378211975098
"Households cut black bag waste by 31.5% in a decade, says WasteServ CEO",2024-12-22 08:00:00,"Households are increasingly rethinking their waste disposal habits, contributing to a 31.5% decrease in the rate of black bags that ended up in landfills over the past decade, WasteServ CEO Richard...",negative,0.8589878082275391
TerraForm: Malta secures its first ERC grant to uncover the history of terraced landscapes,2024-12-19 15:43:00,"Malta has secured its first-ever Horizon Europe European Research Council (ERC) Grant, awarded to , a lecturer in Mediterranean prehistory at the Department of Classics and Archaeology within the...",positive,0.8983731865882874
Nestlé Malta’s Clothes Drive delivers hundreds of men’s clothing items collected for charity,2024-12-19 13:14:00,"Nestlé Malta has successfully concluded its 5th Annual Clothes Collection Drive, with this year's edition focusing on men's clothing. Over the course of November, the company, alongside members...",positive,0.8597705960273743
Travel with Tallinja on 21st December to support L-Istrina,2024-12-19 11:45:00,"Malta Public Transport is launching its eighth edition of Tallinja għal L-Istrina on Saturday, 21st December 2024, in collaboration with the Office of the President. This annual initiative raises...",positive,0.6888847351074219
A top Russian general is killed in a Moscow bombing claimed by Ukraine,2024-12-17 16:24:00,"A senior Russian general was killed Tuesday by a bomb hidden in a scooter outside his apartment building in Moscow, a day after Ukraine’s security service levelled criminal charges against him....",negative,0.8519933223724365
Excellence unleashed at BOV with 120 plus employees graduating,2024-12-16 15:39:00,"Bank of Valletta celebrated the achievements of over 120 employees at the 2024 Graduation Ceremony held on Friday, 22nd November at the Phoenicia Hotel. The event highlighted the Bank's commitment to...",positive,0.8938916325569153
Economics of Christmas: A season of cheer or inefficiency?,2024-12-15 10:05:00,"Christmas, tis the season to be jolly, sing carols, eat too much and... spend a lot.  Behind the festive cheer lies a less joyous truth about the economic inefficiencies of this beloved...",neutral,0.5915936827659607
Economic Sector Growth: Powers of Percent Increase Analysis,2024-12-12 14:51:00,Understanding the dynamics of economic sector growth is integral to making sound financial decisions. Being able to accurately discern patterns of growth within sectors can greatly assist in your...,neutral,0.7296529412269592
HSBC Malta Foundation hosts ceremony to honour winners of Maltese honeybee awareness competition,2024-12-12 09:10:00,"The HSBC Malta Foundation, in collaboration with the Foundation for the Conservation of the Maltese Honeybee (KNM), celebrated the winners of the National Insect €2 Commemorative Coin Competition...",positive,0.6883904933929443
GBS Malta unveils state-of-the-art campus in St Julian’s,2024-12-11 12:14:00,"GBS Malta, a member of the Global Education (GEDU) network, has inaugurated a cutting-edge campus in the bustling heart of St Julian's. This development sets a new benchmark for student learning and...",positive,0.8555331826210022
Belair Property champions excellence in architecture at Din l-Art Ħelwa Awards,2024-12-11 12:01:00,"Belair Property proudly sponsored the XVIII edition of Din l-Art Ħelwa's architectural awards, held in November. The decision to support this prestigious event reflects Belair's commitment to the...",positive,0.6940910816192627
Atlas Insurance launches special edition 2025 Calendar,2024-12-11 10:17:00,"Atlas Insurance has unveiled its 2025 annual calendar, a distinctive edition commemorating the company's centennial and the exhibition held during 2024 ""Centennial Chronicles - Celebrating Malta's...",positive,0.6200215816497803
Debono Group launches employee dream sponsorship scheme for 2025,2024-12-11 09:43:00,"Debono Group has officially launched a sponsorship scheme aimed at empowering its employees to explore and excel in their passions, from motorsports to athletics and beyond. The programme was kicked...",negative,0.6144205927848816
BOV sets new standard with SEPA instant payments launch,2024-12-10 21:22:00,"Bank of Valletta has successfully launched its SEPA service, offering customers a faster, more efficient way to receive funds from anywhere in Europe. This milestone underscores the Bank's commitment...",positive,0.936151385307312
The Access Bank UK Limited expands international presence…,2024-12-10 11:26:00,"The Access Bank UK Limited proudly announces the establishment of its first fully owned subsidiary in Malta, The Access Bank Malta Limited. The subsidiary's banking license application has been...",neutral,0.8564774990081787
"Corinthia and Kuwaiti-based Action Real Estate Company 
join forces for luxury hotel",2024-12-03 18:52:00,The Corinthia Group has entered into an exciting partnership with Kuwaiti-based conglomerate Action Real Estate Company to explore investment opportunities for luxury hotels and real estate at prime...,positive,0.926059365272522
Board and management meet to discuss APS Bank’s 2025-2027 business plan,2024-12-03 18:47:00,"APS Bank directors and senior management met offsite on 20 November 2024 to finalise their discussions on the 2025-2027 Business Plan. Held over a focused, full-day session, the event covered the...",neutral,0.8845852017402649
Excel Finance plc announces €50 million secured bond issue,2024-12-03 18:40:00,"Excel Finance p.l.c. today announced the launch of a €50 million secured bond issue with an annual interest rate of 5.4%, maturing in 2031. The bonds will be secured by a first ranking...",neutral,0.8960386514663696
Are you Planning a trip to Malta for the New Year? Discover the Most Entertaining Things to Do,2024-12-03 14:47:00,"Malta is one of those destinations that appeals to any type of traveler. It provides a charming atmosphere, inspiring natural scenery, and paradise beaches. It also has a fascinating culture and...",neutral,0.7359058856964111
Responsible Betting Initiatives Promoted by Maltese Betting Sites,2024-12-03 11:42:00,"It might have been one of the backbones of Maltese industry for years, but the online gambling industry has been under increasing scrutiny in recent years across Europe. The primary concern of this...",neutral,0.8012040257453918
Grant Thornton Team mobilised to help MSSP mission in Peru and Malta,2024-12-03 11:10:00,"For this  year's CSR Day activity, which took place on October 16, Grant Thornton joined  forces with The Missionary Society of St Paul (MSSP) at St Joseph Home in Sta  Venera, Malta to help tackle...",positive,0.7279562950134277
