headline,date,time,description,sentiment,sentiment_score
Far-right surge triggers alarm in Germany,"June 7, 2023",7:12 pm CET,Germany’s right-populist AfD party has shot up 4 percentage points in the last 3 months alone.,negative,0.7839692831039429
Le Maire hails ‘positive signal’ after S&P preserves France’s credit rating,"June 3, 2023",11:30 am CET,"The French government’s public debt strategy is ‘credible,’ economy minister says.",positive,0.8538687229156494
Director Oliver Stone talks nuclear power — EU economy chief Paolo Gentiloni,"January 19, 2023",5:04 am CET,Presented by Hedera.,neutral,0.7753494381904602
Davos struggles to get used to a world without Russia,"January 18, 2023",11:33 am CET,"Behind the scenes, global CEOs and leaders question how long the West can ignore Moscow and still find new markets for energy, metals and food.",neutral,0.8457607626914978
Is this the end of Made in Europe?,"January 15, 2023",7:27 pm CET,"From glass-makers to paper producers, European industries face a struggle to survive. What if they don’t make it?",neutral,0.8180924654006958
"Argentina, caught in economic depression, gets something to cheer in World Cup win","December 18, 2022",11:42 pm CET,Triumph in epic final match of tournament gives crisis-torn South American country a feeling of new hope.,neutral,0.4013047218322754
Macron strong-arms French parliament into adopting budget,"October 19, 2022",8:36 pm CET,The president’s pledge to build bridges with opposition parties after his parliamentary election setback fell flat.,positive,0.609491765499115
It’s time to talk about towns — an untapped opportunity to drive growth across the UK,"October 5, 2022",5:00 am CET,First-of-its-kind report reveals insight into the economic vitality and strengths of UK’s towns — and how they can be bolstered so no one is left behind.,neutral,0.542427122592926
Defiant Liz Truss defends budget amid UK market turmoil,"September 29, 2022",12:28 pm CET,British prime minister insists interest rates and difficult market conditions were a global problem..,negative,0.7608516216278076
Bundesbank chief: Further rate hikes needed to curb inflation,"August 20, 2022",6:30 pm CET,Nagel also acknowledges that recession seems likely in the fall amid the energy crisis.,positive,0.8445127010345459
Businesses in Belgium now have to accept electronic payments,"July 1, 2022",4:50 pm CET,Cash payments will still be accepted.,neutral,0.5614373087882996
The invisible backbone of Europe’s e-commerce,"June 29, 2022",5:00 am CET,Logistics and e-commerce are building a better tomorrow. What role will they play in Europe’s future?,neutral,0.8956748247146606
"Going digital, going green: tourism’s twin transition","June 23, 2022",5:00 am CET,How Europe can remain the number one tourist destination in the world,neutral,0.8923470377922058
Airbnb hosts in Europe create the future of tourism,"June 16, 2022",5:00 am CET,"“By becoming an Airbnb host, I was able to appreciate a new vision of accommodation where special attention is the essence of a unique experience,” said Jean-Paul Helissey, former Olympian.",neutral,0.7945763468742371
Scholz on Ukraine — COVID update — Food waste solution,"May 26, 2022",5:42 pm CET,Presented by Cisco.,neutral,0.8977625370025635
Death of globalization? — EU expansion — Women in Davos,"May 25, 2022",11:32 pm CET,Presented by Cisco.,neutral,0.8387652039527893
Russian oil sanctions — Stagflation fears — Crypto not dead,"May 24, 2022",11:08 pm CET,Presented by Cisco.,neutral,0.546393871307373
Zelenskyy chides global elite — Trust troubles — Billionaire bonanza,"May 24, 2022",4:50 am CET,Presented by Cisco.,negative,0.6674728393554688
The waiting game: When will the EU agree to sanctions on Russian oil?,"April 26, 2022",2:18 pm CET,EU ambassadors will discuss tougher action against Russia over the Ukraine war on Wednesday — but if they were hoping for details of the emerging plan to …,neutral,0.8486601114273071
"New German government should change tack over Nord Stream 2, Poland’s PM says","November 28, 2021",2:02 pm CET,,neutral,0.7848256826400757
Far-left budget revolt pushes Portugal’s government to the brink,"October 25, 2021",3:34 pm CET,,negative,0.9467549920082092
EU migration wrangle — Economist Joseph Stiglitz — EMA chief Emer Cooke,"August 26, 2021",2:56 pm CET,,neutral,0.5450260639190674
UK employment rebounds ‘robustly’ amid Brexit staff shortage fears,"August 17, 2021",11:29 am CET,,negative,0.6197010278701782
Record January borrowing for UK as retail sales plunge,"February 19, 2021",2:30 pm CET,,positive,0.9187523126602173
Europe begins hunt for its next astronauts,"February 16, 2021",4:49 pm CET,,neutral,0.8257639408111572
"5 things to know about Mairead McGuinness, the EU’s future finance chief","September 8, 2020",2:32 pm CET,The Irish commissioner-designate is an experienced EU politician.,neutral,0.928141713142395
Quarter of Europe’s jobs at risk from coronavirus crisis: report,"April 20, 2020",12:01 am CET,"Unemployment could almost double in the coming months, McKinsey predicts.",negative,0.9398248791694641
"On WhatsApp, Brussels women network for equality","March 8, 2020",4:07 am CET,"Informal groups share tips on careers, kids and overcoming sexism.",neutral,0.9186348915100098
Meet the most powerful woman in Washington not named Nancy,"October 19, 2019",11:24 am CET,The new managing director of the International Monetary Fund must unite the world as leading economies spar over a global slowdown and Trump-inspired trade war.,neutral,0.9171900153160095
Swedish slowdown imperils PM’s job promise,"October 8, 2019",4:00 am CET,The Social Democrat leader struggles to retain his credibility as champion of working people.,negative,0.9355737566947937
Greece presents ‘radical’ pro-business budget,"October 7, 2019",8:00 pm CET,"New Democracy vows to boost growth and spending, but its high estimates raise eyebrows.",neutral,0.7276350855827332
Macron picks longtime ally as EU commissioner,"August 28, 2019",10:55 am CET,Goulard is a former minister and MEP from the liberal ALDE group.,neutral,0.815144419670105
"Spend, or the populists will","May 10, 2019",4:00 am CET,"Years of painful reform mean the EU is more crisis-resilient, but some states underutilize their fiscal room for maneuver — and others run amok.",neutral,0.9328181743621826
Brexit stockpiling boosts UK economy in February,"April 10, 2019",1:11 pm CET,But a no-deal Brexit could tip the U.K. into a two-year recession.,positive,0.8939136266708374
"Romania can’t compete in EU, says finance minister","April 6, 2019",5:16 pm CET,"Labor mobility is ‘good’ for the EU as a whole, but is hurting Romania, according to Eugen Teodorovici.",neutral,0.7342639565467834
Davos elites fear they’re on a toboggan ride to hell,"January 25, 2019",5:54 am CET,The global winners here in Switzerland aren’t so sure they’re up to the task of running the world anymore.,neutral,0.6550893783569336
"Don’t treat Italy like Greece, Spain’s Borrell tells Brussels","November 20, 2018",12:30 pm CET,"‘Italy cannot afford a second recession,’ warns the veteran Spanish Socialist.",neutral,0.8034461140632629
Skills are more important than ever in the digital age,"November 5, 2018",9:00 am CET,"Article by Cesare Onestini, director, European Training Foundation: “Let’s use automation to liberate human expertise, not to marginalize workers.”",neutral,0.8718674182891846
Cuba on the Thames,"September 26, 2018",6:02 pm CET,Get ready for the United Kingdom of Corbyn.,neutral,0.7928632497787476
The Greek Rorschach test,"August 19, 2018",6:00 pm CET,The end of the bailout program offers crucial lessons for the future of the eurozone.,neutral,0.9367503523826599
"‘Pensions won’t be frozen,’ promises Spain’s Rajoy","March 14, 2018",4:03 pm CET,"The conservative PM relies on aging voters, whose income is being eroded by inflation.",neutral,0.7778935432434082
‘The president clearly set himself up’: Trump’s stock market miscalculation,"February 5, 2018",10:42 pm CET,"After cheering the market’s relentless rise, President Trump now faces the reality of its sudden fall.",negative,0.5716211795806885
France and Germany agree on eurozone reform,"January 17, 2018",9:30 am CET,"… Well, their economists do.",neutral,0.7758989334106445
Philip Hammond to set aside £3B more for Brexit preparations,"November 22, 2017",2:52 pm CET,The chancellor told MPs UK growth forecasts had been downgraded.,neutral,0.8597087264060974
Muriel Pénicaud’s magic formula to fix France,"November 14, 2017",4:13 am CET,"A former HR director uses private-sector skills to overhaul French job training, apprenticeships and unemployment benefits.",neutral,0.8538633584976196
Merkel: Economic relations with Turkey will suffer over German detentions,"September 16, 2017",12:42 pm CET,Chancellor seeks to force return of German prisoners but rules out breaking off ties with Ankara.,negative,0.9570234417915344
Why Germany should welcome our robot overlords,"September 6, 2017",1:50 pm CET,A looming skilled-workers shortage threatens to undermine Europe’s largest economy.,neutral,0.8816619515419006
Where German parties stand on Europe,"August 28, 2017",4:04 am CET,All mainstream parties run on pro-European tickets but disagree on the details.,neutral,0.9264453649520874
Portugal’s António Costa has too much of a good thing,"June 12, 2017",4:03 am CET,Costa’s Portugal is on a roll — but that could spell trouble for the Socialist prime minister.,neutral,0.5310803651809692
Eurogroup confronts own deficit: governance,"May 24, 2017",4:00 am CET,,negative,0.5038823485374451
Greater success with projects: Lessons for Europe,"May 18, 2017",9:54 am CET,,positive,0.5194956064224243
"Global finance, Trump strike truce","April 23, 2017",9:22 pm CET,,neutral,0.9319382309913635
Pierre Moscovici sees big leap for eurozone,"April 21, 2017",10:41 pm CET,,positive,0.8456140160560608
G20 plays down trade differences with Trump,"April 21, 2017",9:12 pm CET,,neutral,0.7969129085540771
"PES family stands for a Europe that is social, fairer and citizen-focused","March 23, 2017",9:38 am CET,,neutral,0.7897521257400513
Many EU workers worse off now than 8 years ago: report,"March 13, 2017",11:11 am CET,"Real wages have fallen every year since 2009 in Greece, Croatia, Hungary, Portugal, Cyprus, the UK and Italy.",negative,0.9589686393737793
Leveraging women’s economic potential,"March 8, 2017",9:15 am CET,UN marks International Women’s Day with equality pledge,neutral,0.7563396096229553
London’s migrants add £83bn a year to economy: report,"March 2, 2017",11:21 am CET,"City’s 1.8 million migrant workers significantly boost economy, report claimed.",neutral,0.556146502494812
‘Only capital markets can save the European economy’,"February 23, 2017",9:42 am CET,"Brexit has dominated European economic and political discourse for months and will continue to do so. Indeed, today’s POLITICO summit is about the future of capital markets, in …",neutral,0.804669976234436
Economy is Brits’ top concern: survey,"February 21, 2017",8:06 am CET,Concerns about jobs leaving the UK in the wake of Brexit have unsettled consumers.,neutral,0.9069488048553467
"Sharing values, shaping growth","February 14, 2017",9:53 am CET,"Last summer, soldiers at the army base northeast of Riga could be heard joking that at least the Canadians could teach hockey-mad Latvia how to defeat their …",neutral,0.8597628474235535
Finland experiments with giving away free money,"January 25, 2017",5:23 am CET,Ground-breaking basic income trial will test whether it removes barriers to work.,neutral,0.9273430705070496
The City gets nervous about Theresa May,"January 9, 2017",4:07 pm CET,Markets will be increasingly sensitive to the Brexit utterances coming from Westminster.,negative,0.5549511909484863
Most migrants in Germany fail to get jobs,"December 19, 2016",9:17 am CET,"More than 400,000 asylum seekers were registered with employment agencies, but only 34,000 got work.",negative,0.8458883762359619
The future of the European capital market,"December 2, 2016",10:57 am CET,How best to support and nurture the vital SMEs that provide more than half of all EU jobs,neutral,0.921519935131073
No direct ‘Trump-effect’ on German economy: survey,"November 24, 2016",1:23 pm CET,Research shows that German firms are slightly less optimistic about the coming months.,neutral,0.9123753309249878
Brexit hobbles UK growth outlook,"November 23, 2016",3:31 pm CET,Philip Hammond delivers bleak news for the UK economy in his first — and last — Autumn Statement.,negative,0.655364990234375
Brexit hits Manchester United’s debt,"November 17, 2016",4:57 pm CET,"Net debt has ballooned to £338 million, and currency fluctuations are partly to blame.",negative,0.9064454436302185
Sadiq Khan to anti-Trump American talent: ‘London is open’,"November 16, 2016",3:13 pm CET,Invitation comes amid reports that some Americans are studying options to emigrate.,positive,0.4899604022502899
Germany: Don’t assume EU budget stays as flush post-Brexit,"November 16, 2016",5:35 am CET,Funds currently going to the U.K. “should not simply flow into pre-existing structures.”,neutral,0.5095672607421875
Jens Spahn: EU Budget will not automatically remain the same once the UK leaves,"November 16, 2016",5:33 am CET,German deputy Finance Minister tells POLITICO that the EU budget shouldn’t necessarily remain at its current level once the U.K. leaves the bloc.,neutral,0.9087735414505005
Innovation and growth: A European perspective,"November 4, 2016",4:15 pm CET,How Europe can ease its ‘funding bottleneck’ and rival the US start-up culture,neutral,0.8990610241889954
Theresa May’s secret business love affair,"November 2, 2016",5:33 am CET,Business may find more to like in the UK prime minister’s actions than in her words.,neutral,0.9138043522834778
Brexit gives UK tree growers reason to be jolly,"October 26, 2016",1:42 pm CET,This Christmas season more locally grown trees could be sold due to the falling value of the pound.,neutral,0.7483944296836853
Does a European culture exist?,"October 21, 2016",4:10 pm CET,"Culture could be the glue that binds nations together, says writer and psychoanalyst Julia Kristeva.",neutral,0.9038298726081848
François Hollande gets mugged by political sons,"October 10, 2016",5:30 am CET,Both Macron and Montebourg are circling the French president on a key issue.,negative,0.7797181010246277
Portugal’s ‘contraption’ creaks forward,"October 7, 2016",1:37 pm CET,"Stagnant growth, mountainous debt and a fragile financial sector are stoking fears of a second bailout.",negative,0.9264704585075378
Terror hits Belgian economy,"September 30, 2016",8:57 pm CET,Brussels attacks stunted the country’s promising financial growth.,negative,0.8675878643989563
Mario Draghi warms up for showdown at Bundestag,"September 26, 2016",9:32 pm CET,The European Central Bank chief easily deflected questions from MEPs before heading to face German critics.,neutral,0.8401015400886536
Bankers steal virtual cash from the kids,"September 14, 2016",4:24 pm CET,,neutral,0.8159255981445312
World Bank’s US dependency has to end,"September 13, 2016",1:27 pm CET,,negative,0.5310945510864258
Court of Auditors: EU payments to Balkans could be reduced,"September 13, 2016",9:29 am CET,,negative,0.9028242826461792
Why Brexit hasn’t destroyed the British economy (yet),"September 11, 2016",6:00 pm CET,,neutral,0.5915845632553101
Vote Leave veterans to launch Brexit pressure group,"September 9, 2016",4:56 pm CET,,neutral,0.8702423572540283
Deciphering Mario Draghi,"September 8, 2016",7:25 pm CET,,neutral,0.9178112149238586
ECB holds fire on more stimulus,"September 8, 2016",1:48 pm CET,Most economists had expected an extension to the central bank’s bond-buying program.,negative,0.7744407057762146
Wolfgang Schäuble goes soft on spending (not),"September 7, 2016",8:39 pm CET,The hardline German minister’s apparent conversion is nothing more than political opportunism.,neutral,0.5649182200431824
Jean-Claude Juncker wants to bend European budget rules,"September 7, 2016",7:40 pm CET,"In his annual speech, the Commission president is expected to call for more flexibility in budget deficit calculations.",neutral,0.754661500453949
Top EU court confirms €357 million British car glass cartel fine,"September 7, 2016",10:53 am CET,European Court of Justice upholds record fine against company that conspired to fix windscreen prices.,neutral,0.7642448544502258
Spanish ex-minister linked to Panama Papers drops World Bank bid,"September 6, 2016",8:51 pm CET,José Manuel Soria resigned in April after he was linked to tax avoidance scandal.,neutral,0.8652120232582092
Greece ignores Commission on statistics dispute,"August 24, 2016",10:12 pm CET,"Brussels says there were no problems with the country’s budget data used for its bailout package, but Athens brushes it off.",neutral,0.9419832825660706
Economy in eastern Germany won’t catch up for decades: study,"August 24, 2016",4:09 pm CET,An exodus of young people and low birth rates since 1990 has hindered growth in states from the former GDR.,neutral,0.8728310465812683
Local official: Paris tourism going through ‘industrial disaster’,"August 23, 2016",2:10 pm CET,"Despite the Euro championships, there were one million fewer visitors between January and June than in the same period last year.",neutral,0.48723500967025757
Millennials split on women earning more than men: poll,"August 22, 2016",1:42 pm CET,"Those aged between 18 and 35 hold broadly progressive views, with climate change their biggest concern.",neutral,0.8575558662414551
Brexit an ‘existential threat’ to Gibraltar economy: chief minister,"August 20, 2016",6:31 pm CET,Fabian Picardo is looking for a deal to keep the territory in EU single market despite UK’s divorce.,negative,0.7720561623573303
UK farmers wonder who’ll get the harvest in,"August 18, 2016",10:28 am CET,Rural England is totally dependent on seasonal labor from Eastern Europe.,neutral,0.9124400615692139
UK jobless rate fell in the run-up to Brexit vote,"August 17, 2016",11:43 am CET,"The U.K.’s unemployment rate declined between April and June to the lowest level since May 2008, despite the economic uncertainty generated by the June 23 referendum on …",negative,0.9702717065811157
Brussels lacks stomach for a fight,"August 16, 2016",4:32 pm CET,"If no one sticks up for the rule of EU law, what will hold the bloc together?",neutral,0.4907197058200836
The struggle for Europe’s tourist dollar,"August 11, 2016",4:18 pm CET,"Visitor numbers in Paris are down amid security concerns, while Bulgaria is gearing up for a boom.",neutral,0.4475695788860321
Migrants are Germany’s ‘job engine:’ report,"August 11, 2016",12:30 pm CET,Those with foreign origins are creating jobs in more diverse sectors.,neutral,0.5093399286270142
"Senior German MEPs threaten to cut EU money to Poland, Hungary","August 10, 2016",12:16 pm CET,Countries that don’t respect EU laws ‘should be deprived of funds.’,negative,0.9378283023834229
Romania’s parties defy PM’s tax-cut warning,"August 9, 2016",6:10 pm CET,The IMF supports the interim PM’s objections to relaxing taxes in an election year.,negative,0.6782129406929016
Q&A with Bank of Italy Governor Ignazio Visco,"August 4, 2016",5:30 am CET,Visco’s first interview following the European Banking Authority publishing results of its recent bank stress test.,neutral,0.9126287698745728
5 things to expect if 5Stars win the Italian elections,"August 3, 2016",1:58 pm CET,Anti-establishment movement is ahead in the polls. What would happen if it won?,neutral,0.7950596809387207
Turkish minister: Failed coup cost €90 billion,"August 2, 2016",12:38 pm CET,"‘Putschists made Turkey seem like a third world country,’ customs and commerce chief says.",neutral,0.5599150657653809
"After Brexit, Theresa May seeks industrial overhaul","August 2, 2016",9:36 am CET,PM says UK must take advantage of opportunities outside EU.,neutral,0.894638180732727
"The banks that, sadly, can’t die","August 1, 2016",11:38 am CET,Too Big To Fail haunts the global financial system.,neutral,0.569891631603241
Jean-Claude Juncker’s next big thing,"August 1, 2016",5:32 am CET,"No longer held back by the Brexit debate, the Commission president has plans to add a ‘social’ dimension to EU policymaking.",neutral,0.8965073227882385
Matteo Renzi: no extraordinary budget measures in 2016,"July 31, 2016",3:58 pm CET,Italian premier said there would be no increase in value added tax this year.,neutral,0.7843494415283203
EU banks get relatively clean bill of health,"July 30, 2016",12:04 am CET,,positive,0.5951552391052246
5 things to watch in European banks’ stress test results,"July 28, 2016",10:25 pm CET,,neutral,0.8938190340995789
"Wolfgang Schäuble bails out Spain, Portugal","July 27, 2016",11:27 pm CET,,neutral,0.8356177806854248
"In reversal, Juncker backs sanctions on Spain and Portugal","July 27, 2016",5:34 am CET,,negative,0.8376091718673706
G20 finance ministers pledge closer collaboration on tax evasion,"July 23, 2016",10:55 am CET,,positive,0.8071557283401489
Brexit hits real British economy,"July 22, 2016",3:09 pm CET,,negative,0.7798314690589905
Mario Draghi may soon be thankful for Brexit,"July 21, 2016",7:07 pm CET,The ECB head can reload his ‘whatever it takes’ bazooka to revive eurozone growth.,neutral,0.5596944689750671
ECB holds off on post-Brexit stimulus,"July 21, 2016",1:48 pm CET,All eyes now on next monetary policy meeting in September.,negative,0.7763872742652893
Brits think they’ll be better off after Brexit … in 20 years: poll,"July 18, 2016",8:07 pm CET,UK adults more positive about long-term than short-term economic effect of life outside the EU.,neutral,0.6441339254379272
Bank of England’s delicate balancing act,"July 14, 2016",3:21 pm CET,Decision to hold interest rates does not mean the UK economy is in the clear.,neutral,0.5756920576095581
"Bank of England announces no interest rate cut, for now","July 14, 2016",1:08 pm CET,"In a surprising move, the Bank of England decided to leave its benchmark interest rate unchanged at 0.5 percent.",neutral,0.668738842010498
"Spain, Portugal in line for penalties on budget deficits","July 12, 2016",1:16 pm CET,"Ministers have given potential sanctions the go-ahead, but the Iberian countries may persuade the Commission to be lenient.",negative,0.6478759050369263
Mark Carney angrily rejects accusations of BoE’s political role in Brexit debate,"July 12, 2016",12:06 pm CET,Bank chief says he did not shape the institution’s assessments based on guidance from government.,negative,0.7973392605781555
"Angela Merkel: UK must clarify future of EU relations, fast","July 12, 2016",9:21 am CET,"Merkel said UK an important partner, but EU countries must protect their own interests first.",neutral,0.8754029273986816
Italy to face two-decade recession: IMF,"July 12, 2016",8:31 am CET,"Italy will struggle to close the gap with other Eurozone countries, report states.",negative,0.8688219785690308
Economy rains on Portugal’s victory parade,"July 11, 2016",8:22 pm CET,"Iberian neighbors seek to avoid EU fines, but Lisbon worries go beyond sanctions.",neutral,0.43339669704437256
French finance minister calls for Portugal to be spared EU sanctions,"July 11, 2016",12:13 pm CET,Michel Sapin says Lisbon has made great efforts to improve its public finances.,neutral,0.6697530746459961
Commission declares Spain and Portugal violated budget rules,"July 7, 2016",7:31 pm CET,Madrid and Lisbon could face huge fines for excessive deficits — if other EU governments agree.,negative,0.956811249256134
Finance insiders: The UK won’t really go,"July 7, 2016",5:30 am CET,Britain scored ‘an astonishingly avoidable own goal.’,neutral,0.9087725877761841
Why Europe’s largest economy resists new industrial revolution,"July 6, 2016",6:48 pm CET,"Angela Merkel champions Industry 4.0, urging investment in new technology. German business isn’t heeding the call.",neutral,0.8728560209274292
Günther Oettinger urges action against Spain and Portugal over deficits,"July 4, 2016",3:28 pm CET,"Neither country respected their self-imposed budget obligations in 2015, the German commissioner said.",negative,0.3504394292831421
Independence would make Scotland ‘Greece without the sun’,"July 2, 2016",12:06 pm CET,"After Brexit vote, Nicola Sturgeon said it was ‘highly likely’ there would be a fresh referendum.",neutral,0.900443971157074
Brexit triggers talks on reshuffling Commission economic posts,"July 1, 2016",8:30 pm CET,Moscovici could take on some of Dombrovskis’ responsibilities after he replaces Jonathan Hill as financial services chief.,negative,0.4273923337459564
Bank of England could cut rates again as Brexit weighs,"June 30, 2016",6:20 pm CET,UK central banker responds to EU referendum — but says he can’t do politicians’ jobs for them.,negative,0.929656982421875
MAR is here – What do market participants need to worry about?,"June 29, 2016",2:58 pm CET,The implementation of the Market Abuse Regulation on 3 July has had market participants racing to ensure that they are prepared to comply with FCA guidelines. On …,neutral,0.8749703764915466
Scottish independence is new JP Morgan forecast,"June 29, 2016",2:30 pm CET,The City is also likely to suffer losses as financial institutions shift to the EU.,neutral,0.9429882764816284
Vodafone considering moving headquarters out of UK post-Brexit,"June 29, 2016",8:26 am CET,"The company wants access to the EU’s free movement of people, capital and goods.",neutral,0.8491911292076111
Jean Arthuis: France’s money man comes to Brussels,"June 28, 2016",10:05 am CET,The Parliament’s chief budget negotiator sees the same parochial squabbling at EU level that he saw when he was mayor of a small town.,neutral,0.9009443521499634
